,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
1494,Apurin%C3%A3,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Apurin%C3%A3
1495,Maquiritari,"Cariban, GuiaUknown Carib, Maquiritari","Cariban, GuiaUknown Carib, Maquiritari",mch,maqu1238,"6,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Yekuana_language
1496,Atikamekw,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Atikamekw
1497,Khoekhoe,"Khoe–Kwadi, Khoe, Khoekhoe, Khoekhoe","Khoe–Kwadi, Khoe, Khoekhoe, Khoekhoe","Either:titlenaqtitle – Khoekhoe, Namatitlehgmtitle – titleHaiǁom",nort3245title  Subfamily: North Khoekhoetitlenama1264title  Language: Namatitlehaio1238title  Language: Haiǁom-Akhoe,"200,000 ± 10,000 ","Orange River, Great Namaland, Damaraland",Unknown, Namibia South Africaa,https://en.wikipedia.org/wiki/Khoekhoe_language
1498,Texistepec,"Mixe–Zoquean, Zoquean, Gulf Zoquean, Texistepec","Mixe–Zoquean, Zoquean, Gulf Zoquean, Texistepec",poq,texi1237,1 ,Vera Cruz,Unknown,Unknown,https://en.wikipedia.org/wiki/Texistepec_language
1499,Saek,"Kra–Dai, Tai, Northern Tai, Saek","Kra–Dai, Tai, Northern Tai, Saek",skb,saek1240,"10,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Saek_language
1500,Pemon,"Cariban, Venezuelan Carib, Pemóng–Panare, Pemóng, Pemon","Cariban, Venezuelan Carib, Pemóng–Panare, Pemóng, Pemon",aoc,pemo1248,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Pemon_language
1501,Bauni,"Skou, Piore River, Warapu, Bauni","Skou, Piore River, Warapu, Bauni",bpe,wara1302,300 ,"Sandaun Province, Papua New Guinea",Unknown,Unknown,https://en.wikipedia.org/wiki/Bauni_language
1502,Puinaua,"Panoan, Mainline Panoan, Nawa, Poyanawa group, Puinaua","Panoan, Mainline Panoan, Nawa, Poyanawa group, Puinaua",pyn,poya1241,Uknown,Acre,Unknown,Unknown,https://en.wikipedia.org/wiki/Poyanawa_language
1503,Santa_Claus,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Santa_Claus
1504,Mingrelian,"Kartvelian, Karto-Zan, Zan, Mingrelian","Kartvelian, Karto-Zan, Zan, Mingrelian",xmf,ming1252,"345,000 ",MingreliaAbkhazia,Unknown,Unknown,https://en.wikipedia.org/wiki/Mingrelian_language
1505,Susuami,"Trans–New Guinea, Angan, Northeast, Susuami","Trans–New Guinea, Angan, Northeast, Susuami",ssu,susu1251,10 ,"Upper Watut valley, Morobe Province",Unknown,Unknown,https://en.wikipedia.org/wiki/Susuami_language
1506,Thuri,"Nilo-Saharan,Eastern Sudanic, Nilotic, Western Nilotic, Luo, Northern, Thuri","Nilo-Saharan,Eastern Sudanic, Nilotic, Western Nilotic, Luo, Northern, Thuri",thu,thur1255,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Thuri_language
1507,Arikapú,"Macro-Gê, \xa, Yabutian, Arikapú","Macro-Gê, \xa, Yabutian, Arikapú",ark,arik1265,2 ,"Rondônia, at the headwaters of the Rio Branco",Unknown,Unknown,https://en.wikipedia.org/wiki/Arikap%C3%BA_language
1508,Cimbrian,"Indo-European, Germanic, West Germanic, Elbe Germanic, High German, Upper German, Bavarian, Cimbrian","Indo-European, Germanic, West Germanic, Elbe Germanic, High German, Upper German, Bavarian, Cimbrian",cim,cimb1238,400 ,,Unknown, Italy Trentino,https://en.wikipedia.org/wiki/Cimbrian_language
1509,Enets,"Uralic, Samoyedic, (core), Enets–, Nenets, Enets","Uralic, Samoyedic, (core), Enets–, Nenets, Enets",Either:titleenftitle – Forest Enetstitleenhtitle – Tundra Enets,enet1250,69 ,"Krasnoyarsk Krai, along the lower Yenisei River",Unknown,Unknown,https://en.wikipedia.org/wiki/Enets_language
1510,Kʼicheʼ,"Mayan, Eastern (Quichean–Mamean), Greater Quichean, Quichean, Quiché–Achi, Kʼicheʼ","Mayan, Eastern (Quichean–Mamean), Greater Quichean, Quichean, Quiché–Achi, Kʼicheʼ",quc,kich1262,1.1 million ,"Quetzaltenango, Quiché, Retalhuleu, Sololá, Suchitepéquez, Totonicapán, Chiapas", Mexico, Guatemala,https://en.wikipedia.org/wiki/K%27iche%27_language
1511,Nisenan,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Nisenan
1512,Aore_Island,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Aore_Island
1513,Mapia_Atoll,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Mapia_Atoll
1514,Kiowa,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Kiowa
1515,Savosavo,"Central Solomons, Savosavo","Central Solomons, Savosavo",svs,savo1255,Uknown,"Savo Island, north of Guadalcanal, Central Solomons.",Unknown,Unknown,https://en.wikipedia.org/wiki/Savo_language
1516,Tunzu,"Niger–Congo,Atlantic–Congo, Benue–Congo, Kainji, East Kainji, Shammo, Tunzu","Niger–Congo,Atlantic–Congo, Benue–Congo, Kainji, East Kainji, Shammo, Tunzu",dza,tunz1235,"2,500 ",Plateau State and Bauchi State,Unknown,Unknown,https://en.wikipedia.org/wiki/Duguza_language
1517,Gija,"Jarrakan, Gija","Jarrakan, Gija",gia,kitj1240,266 ,"From Halls Creek to Kununurra, Western Australia",Unknown,Unknown,https://en.wikipedia.org/wiki/Kija_language
1518,Upper Chinook,"Chinookan, Upper Chinook","Chinookan, Upper Chinook",wac,wasc1239,Uknown,Columbia River,Unknown,Unknown,https://en.wikipedia.org/wiki/Upper_Chinook_language
1519,Churahi,"Indo-European, Indo-Iranian, Indo-Aryan, Northern, Western Pahari, Churahi","Indo-European, Indo-Iranian, Indo-Aryan, Northern, Western Pahari, Churahi",cdj,chur1258,"76,000[1] ","Chaurah, Saluni",Unknown,Unknown,https://en.wikipedia.org/wiki/Churahi
1520,Itzaʼ,"Mayan, Yucatecan, Mopan–Itza, Itzaʼ","Mayan, Yucatecan, Mopan–Itza, Itzaʼ",itz,itza1241,410 ,Petén,Unknown,Unknown,https://en.wikipedia.org/wiki/Itza_language
1521,Tariana,"Arawakan, Northern, Upper Amazon, Eastern Nawiki, Tariana","Arawakan, Northern, Upper Amazon, Eastern Nawiki, Tariana",tae,tari1256,Uknown,Upper and Middle Vaupés River in Amazonas,Unknown,Unknown,https://en.wikipedia.org/wiki/Tariana_language
1522,Tetserret,"Afro-Asiatic, Berber, Western, Tetserret","Afro-Asiatic, Berber, Western, Tetserret",tez,tets1235,"2,000 ",Sahara,Unknown,Unknown,https://en.wikipedia.org/wiki/Tetserret_language
