iso6393,glottocode,aes_status,Wikipedia_Url
hia,lama1288,threatened,https://en.wikipedia.org/wiki/Lamang_language
hib,hibi1243,extinct,https://en.wikipedia.org/wiki/Hibito_language
hid,hida1246,nearly extinct,https://en.wikipedia.org/wiki/Hidatsa_language
hif,fiji1242,not endangered,https://en.wikipedia.org/wiki/Fiji_Hindi
hig,kamw1239,not endangered,https://en.wikipedia.org/wiki/Kamwe_language
hih,pamo1253,not endangered,https://en.wikipedia.org/wiki/Pamosu_language
hii,hind1267,shifting,https://en.wikipedia.org/wiki/Hinduri_language
hij,hiju1238,shifting,https://en.wikipedia.org/wiki/Hijuk_language
hik,seit1239,threatened,https://en.wikipedia.org/wiki/Seit-Kaitetu_language
hil,hili1240,not endangered,https://en.wikipedia.org/wiki/Hiligaynon_language
hin,hind1269,not endangered,https://en.wikipedia.org/wiki/Hindi
hio,tsoa1238,shifting,
hir,hima1247,not endangered,https://en.wikipedia.org/wiki/Himarim%C3%A3_language
hit,hitt1242,extinct,https://en.wikipedia.org/wiki/Hittite_language
hiw,hiww1237,shifting,https://en.wikipedia.org/wiki/Hiw_language
hix,hixk1239,shifting,https://en.wikipedia.org/wiki/Hixkaryana_language
hji,haji1235,not endangered,https://en.wikipedia.org/wiki/Haji_language
hka,kahe1238,threatened,https://en.wikipedia.org/wiki/Kahe_language
hke,hund1239,not endangered,https://en.wikipedia.org/wiki/Hunde_language
hkk,hunj1241,not endangered,
hkn,melk1242,threatened,
hks,hong1241,shifting,https://en.wikipedia.org/wiki/Hong_Kong_Sign_Language
hla,hali1244,not endangered,https://en.wikipedia.org/wiki/Halia_language
hlb,halb1244,not endangered,https://en.wikipedia.org/wiki/Halbi_language
hld,hala1253,threatened,https://en.wikipedia.org/wiki/Duan_language
hle,hler1235,threatened,https://en.wikipedia.org/wiki/Hlersu_language
hlt,ngal1291,not endangered,https://en.wikipedia.org/wiki/Nga_La_language
hlu,hier1240,extinct,https://en.wikipedia.org/wiki/Hieroglyphic_Luwian
hma,sout1556,threatened,
