,iso6393,glottocode,aes_status
481,ayi,leyi1238,not endangered
482,ayk,akuk1235,not endangered
483,ayl,liby1240,not endangered
484,ayn,sana1295,not endangered
485,ayo,ayor1240,shifting
486,ayp,nort3142,not endangered
487,ayq,ayip1235,shifting
488,ayr,cent2142,threatened
489,ays,sors1239,moribund
490,ayt,bata1297,shifting
491,ayu,ayuu1242,moribund
492,ayz,maib1239,not endangered
493,aza,azha1235,not endangered
494,azb,sout2697,not endangered
495,azd,east2695,threatened
496,azg,sanp1260,not endangered
497,azj,nort2697,not endangered
498,azm,ipal1235,threatened
499,azn,west2778,moribund
500,azo,awin1248,not endangered
501,azt,fair1238,shifting
502,azz,high1278,not endangered
503,baa,baba1268,not endangered
504,bab,bain1259,threatened
505,bac,badu1237,threatened
506,bae,bare1276,extinct
507,baf,nuba1241,shifting
508,bag,tuki1240,not endangered
509,bah,baha1260,not endangered
510,baj,bara1367,threatened
511,bak,bash1264,threatened
512,bam,bamb1269,not endangered
513,ban,bali1278,not endangered
514,bao,waim1255,shifting
515,bap,bant1281,shifting
516,bar,bava1246,threatened
517,bas,basa1284,not endangered
518,bau,bada1258,not endangered
519,bav,veng1238,not endangered
520,baw,bamb1266,not endangered
521,bax,bamu1253,not endangered
522,bay,batu1258,shifting
523,bba,baat1238,not endangered
524,bbb,nucl1630,not endangered
525,bbc,bata1289,threatened
526,bbd,bauu1244,threatened
527,bbe,bang1345,not endangered
528,bbf,baib1251,shifting
529,bbg,bara1362,threatened
530,bbh,buga1247,threatened
531,bbi,baro1252,shifting
532,bbj,ghom1247,not endangered
533,bbk,baba1266,not endangered
534,bbl,bats1242,moribund
535,bbm,baba1263,not endangered
536,bbn,unea1237,not endangered
537,bbo,nort2819,not endangered
538,bbp,west2458,not endangered
539,bbq,bama1251,not endangered
540,bbr,gira1247,not endangered
541,bbs,bakp1238,shifting
542,bbt,mbur1239,not endangered
543,bbu,kulu1255,threatened
544,bbv,karn1252,not endangered
545,bbw,baba1264,not endangered
546,bbx,bubi1249,moribund
547,bby,befa1241,threatened
548,bca,cent2004,not endangered
549,bcb,bain1260,shifting
550,bcc,sout2642,not endangered
551,bcd,nort2860,threatened
552,bce,bame1260,not endangered
553,bcf,bamu1257,not endangered
554,bcg,baga1275,shifting
555,bch,bari1286,not endangered
556,bci,baou1238,not endangered
557,bcj,bard1255,nearly extinct
558,bck,buna1275,nearly extinct
559,bcl,cent2087,not endangered
560,bcm,bann1247,not endangered
561,bcn,bali1245,shifting
562,bco,kalu1248,not endangered
563,bcp,bali1274,not endangered
564,bcq,benc1235,threatened
565,bcr,babi1235,moribund
566,bcs,kohu1244,not endangered
567,bct,bend1260,not endangered
568,bcu,awad1244,not endangered
569,bcv,shoo1247,not endangered
570,bcw,bana1305,threatened
571,bcy,baca1246,not endangered
572,bcz,bain1261,shifting
573,bda,bayo1255,threatened
574,bdb,basa1286,threatened
575,bdc,embe1259,threatened
576,bdd,buna1276,not endangered
577,bde,bade1248,not endangered
578,bdf,biag1234,not endangered
579,bdg,bong1289,threatened
580,bdh,baka1274,not endangered
581,bdi,buru1301,not endangered
582,bdj,baii1251,shifting
583,bdk,budu1248,shifting
584,bdl,indo1317,threatened
585,bdm,budu1265,threatened
586,bdn,bald1241,extinct
587,bdo,moro1281,not endangered
588,bdp,bend1258,shifting
589,bdq,bahn1262,not endangered
590,bdr,west2560,threatened
591,bds,buru1320,shifting
592,bdt,boko1261,not endangered
593,bdu,orok1266,not endangered
594,bdv,bodo1266,not endangered
595,bdw,baha1258,threatened
596,bdx,budo1241,moribund
597,bdy,midd1357,moribund
598,bdz,bade1240,extinct
599,bea,beav1236,moribund
600,beb,bebe1248,threatened
601,bec,icev1238,not endangered
602,bed,bedo1237,shifting
603,bee,byan1241,shifting
604,bef,bena1264,threatened
605,beg,bela1260,moribund
606,beh,bial1238,not endangered
607,bei,beka1241,threatened
608,bej,beja1238,not endangered
609,bek,bebe1252,moribund
610,bel,bela1254,threatened
611,bem,bemb1257,not endangered
612,ben,beng1280,not endangered
613,beo,beam1240,not endangered
614,bep,beso1237,shifting
615,beq,beem1239,not endangered
616,bes,besm1235,shifting
617,bet,guib1246,not endangered
618,beu,blag1240,shifting
619,bev,dalo1238,not endangered
620,bew,beta1252,threatened
621,bex,jurm1239,not endangered
622,bey,beli1258,threatened
623,bez,bena1262,not endangered
624,bfa,bari1284,not endangered
625,bfb,paur1238,not endangered
626,bfc,nort2724,shifting
627,bfd,bafu1246,not endangered
628,bfe,beta1253,shifting
629,bff,bofi1238,not endangered
630,bfg,busa1255,threatened
631,bfh,blaf1238,not endangered
632,bfi,brit1235,threatened
633,bfj,bafa1249,not endangered
634,bfk,bank1251,shifting
635,bfl,band1345,not endangered
636,bfm,mmen1238,shifting
637,bfn,buna1278,threatened
638,bfo,malb1235,not endangered
639,bfp,beba1238,threatened
640,bfq,bada1257,shifting
641,bfr,bazi1237,shifting
642,bfs,sout2730,not endangered
643,bft,balt1258,not endangered
644,bfu,gahr1239,shifting
645,bfw,bond1245,shifting
646,bfx,bant1293,threatened
647,bfy,bagh1251,not endangered
