,iso6393,glottocode,aes_status
3679,lvi,lawi1235,moribund
3680,lvk,lavu1241,shifting
3681,lvs,stan1325,not endangered
3682,lvu,levu1239,not endangered
3683,lwa,lwal1238,not endangered
3684,lwe,lewo1243,not endangered
3685,lwg,wang1294,not endangered
3686,lwh,whit1266,extinct
3687,lwl,east2330,extinct
3688,lwm,laom1237,shifting
3689,lwo,luwo1239,not endangered
3690,lwt,lewo1244,not endangered
3691,lwu,lawu1238,nearly extinct
3692,lww,lewo1242,not endangered
3693,lya,laya1253,threatened
3694,lyg,lyng1241,threatened
3695,lyn,luya1241,not endangered
3696,lzh,lite1248,extinct
3697,lzl,litz1237,nearly extinct
3698,lzn,lein1237,not endangered
3699,lzz,lazz1240,threatened
3700,maa,sanj1286,threatened
3701,mab,yuta1240,threatened
3702,mad,nucl1460,not endangered
3703,mae,boru1244,shifting
3704,maf,mafa1239,not endangered
3705,mag,maga1260,threatened
3706,mah,mars1254,not endangered
3707,mai,mait1250,not endangered
3708,maj,jala1237,threatened
3709,mak,maka1311,threatened
3710,mal,mala1464,not endangered
3711,mam,mamm1241,threatened
3712,maq,chiq1250,shifting
3713,mar,mara1378,not endangered
3714,mas,masa1300,not endangered
3715,mat,sanf1262,shifting
3716,mau,huau1238,threatened
3717,mav,sate1243,shifting
3718,maw,mamp1244,not endangered
3719,max,nort2828,not endangered
3720,maz,cent2144,shifting
3721,mba,higa1237,not endangered
3722,mbb,west2555,threatened
3723,mbc,macu1259,shifting
3724,mbd,diba1242,not endangered
3725,mbe,mola1238,extinct
3726,mbf,baba1267,nearly extinct
3727,mbh,mang1403,not endangered
3728,mbi,ilia1236,not endangered
3729,mbj,nade1244,shifting
3730,mbk,malo1245,not endangered
3731,mbl,maxa1247,shifting
3732,mbm,omba1241,not endangered
3733,mbn,maca1259,shifting
3734,mbo,mboc1235,threatened
3735,mbp,mala1522,shifting
3736,mbq,mais1250,not endangered
3737,mbr,nuka1242,shifting
3738,mbs,sara1327,not endangered
3739,mbt,mati1250,not endangered
3740,mbu,mbul1260,not endangered
3741,mbv,mbul1258,shifting
3742,mbw,mari1435,threatened
3743,mbx,mari1432,shifting
3744,mby,memo1238,shifting
3745,mbz,amol1236,threatened
3746,mca,maca1260,shifting
3747,mcb,mach1267,shifting
3748,mcc,bitu1242,not endangered
3749,mcd,shar1245,threatened
3750,mce,itun1239,threatened
3751,mcf,mats1244,shifting
3752,mcg,mapo1246,nearly extinct
3753,mch,maqu1238,shifting
3754,mci,mese1244,not endangered
3755,mcj,mvan1238,shifting
3756,mck,mbun1249,not endangered
3757,mcl,maca1261,extinct
3758,mcm,mala1533,shifting
3759,mcn,masa1322,not endangered
3760,mco,coat1238,threatened
3761,mcp,maka1304,not endangered
3762,mcq,esee1247,not endangered
3763,mcr,meny1245,threatened
3764,mcs,mamb1294,threatened
3765,mct,meng1263,threatened
3766,mcu,came1252,shifting
3767,mcv,mina1274,threatened
3768,mcw,mawa1270,shifting
3769,mcx,mpie1238,not endangered
3770,mcy,sout2877,threatened
3771,mcz,mawa1267,shifting
3772,mda,mada1282,not endangered
3773,mdb,mori1271,not endangered
3774,mdc,male1291,threatened
3775,mdd,mbum1254,not endangered
3776,mde,maba1277,not endangered
3777,mdf,moks1248,not endangered
3778,mdg,mass1262,moribund
3779,mdh,magu1243,threatened
3780,mdi,mamv1243,not endangered
3781,mdj,mang1394,not endangered
3782,mdk,mang1396,not endangered
3783,mdl,malt1238,not endangered
3784,mdm,mayo1261,not endangered
3785,mdn,mbat1248,not endangered
3786,mdp,mbal1257,threatened
3787,mdq,mbol1247,not endangered
3788,mdr,mand1442,not endangered
3789,mds,mari1438,not endangered
3790,mdt,mber1257,not endangered
3791,mdu,mbok1243,not endangered
3792,mdv,sant1439,threatened
3793,mdw,mbos1242,threatened
3794,mdx,dizi1235,not endangered
3795,mdy,male1284,threatened
3796,mdz,suru1261,shifting
3797,mea,menk1238,threatened
3798,meb,ikob1240,not endangered
3799,mec,mara1385,nearly extinct
3800,med,melp1238,not endangered
3801,mee,meng1267,not endangered
3802,mef,mega1243,not endangered
3803,meh,sout3000,threatened
3804,mei,mido1240,not endangered
3805,mej,meya1236,not endangered
3806,mek,meke1243,not endangered
3807,mel,cent2101,threatened
3808,mem,mang1383,moribund
3809,men,mend1266,not endangered
3810,meo,keda1251,not endangered
3811,mep,miri1266,nearly extinct
3812,meq,mere1246,not endangered
3813,mer,meru1245,not endangered
3814,mes,masm1239,not endangered
3815,met,mato1252,not endangered
3816,meu,motu1246,not endangered
3817,mev,mann1248,not endangered
3818,mew,maak1236,threatened
3819,mey,hass1238,not endangered
3820,mez,meno1252,moribund
3821,mfa,patt1249,threatened
3822,mfb,bang1365,nearly extinct
3823,mfc,mbaa1245,not endangered
3824,mfd,mend1261,threatened
3825,mfe,mori1278,not endangered
3826,mff,naki1238,shifting
3827,mfg,mixi1241,not endangered
3828,mfh,mata1306,not endangered
3829,mfi,wand1278,not endangered
3830,mfj,mefe1242,not endangered
3831,mfk,nort3046,not endangered
3832,mfl,puta1243,moribund
3833,mfm,marg1266,not endangered
3834,mfn,cros1244,not endangered
3835,mfo,mbee1249,not endangered
3836,mfp,maka1305,not endangered
3837,mfq,moba1244,not endangered
3838,mfr,mari1424,nearly extinct
3839,mfs,mexi1237,threatened
3840,mft,moke1240,shifting
3841,mfu,mbwe1238,not endangered
3842,mfv,mand1419,threatened
3843,mfw,mula1254,extinct
3844,mfx,melo1242,threatened
3845,mfy,mayo1264,threatened
3846,mfz,maba1273,moribund
3847,mgb,mara1396,not endangered
3848,mgc,moro1284,shifting
3849,mgd,moru1253,not endangered
3850,mge,mang1398,not endangered
3851,mgf,makl1246,shifting
3852,mgg,mpon1254,not endangered
3853,mgh,makh1261,not endangered
3854,mgi,liji1238,not endangered
3855,mgj,abur1244,not endangered
3856,mgk,mawe1251,shifting
3857,mgl,male1289,not endangered
3858,mgm,mamb1306,not endangered
3859,mgn,mban1262,threatened
3860,mgo,meta1238,not endangered
3861,mgp,east2352,shifting
3862,mgq,mali1279,not endangered
3863,mgr,mamb1296,not endangered
3864,mgs,mand1423,threatened
3865,mgt,mong1344,shifting
3866,mgu,mail1248,not endangered
3867,mgv,mate1258,not endangered
3868,mgw,matu1259,not endangered
3869,mgy,mbun1248,threatened
3870,mgz,mbug1242,threatened
3871,mha,mand1413,shifting
3872,mhb,maho1248,shifting
3873,mhc,moch1257,nearly extinct
3874,mhd,mbug1240,shifting
3875,mhe,besi1244,shifting
3876,mhf,mama1277,shifting
3877,mhg,marg1251,extinct
3878,mhi,madi1260,not endangered
3879,mhj,mogh1245,extinct
3880,mhk,mung1266,not endangered
3881,mhl,mauw1238,threatened
3882,mhm,makh1265,not endangered
3883,mhn,moch1255,shifting
3884,mho,mash1267,threatened
3885,mhp,bali1279,threatened
3886,mhq,mand1446,extinct
3887,mhr,east2328,threatened
3888,mhs,buru1303,threatened
3889,mht,mand1448,extinct
3890,mhu,diga1241,shifting
3891,mhw,mbuk1240,not endangered
3892,mhx,maru1249,not endangered
3893,mhy,maan1238,threatened
3894,mhz,morm1235,shifting
3895,mia,miam1252,extinct
3896,mib,atat1238,threatened
3897,mic,mikm1235,shifting
3898,mid,nucl1706,moribund
3899,mie,ocot1243,threatened
3900,mif,mofu1248,not endangered
3901,mig,sanm1295,threatened
3902,mih,chay1249,threatened
3903,mii,chig1239,shifting
3904,mij,abar1238,shifting
3905,mik,mika1239,shifting
3906,mil,peno1244,threatened
3907,mim,alac1244,threatened
3908,min,mina1268,not endangered
3909,mio,pino1237,threatened
3910,mip,apas1235,shifting
3911,miq,misk1235,not endangered
3912,mir,isth1238,threatened
3913,mit,sout3001,shifting
3914,miu,caca1250,shifting
3915,miw,akoy1238,shifting
3916,mix,mixt1425,shifting
3917,miy,ayut1236,threatened
3918,miz,coat1241,shifting
3919,mjc,sanj1281,threatened
3920,mjd,nort2951,extinct
3921,mje,musk1256,extinct
3922,mjg,huzh1238,shifting
3923,mjh,mwer1247,threatened
3924,mji,kimm1245,not endangered
3925,mjj,mawa1266,moribund
3926,mjk,matu1261,shifting
3927,mjl,mand1409,not endangered
3928,mjm,mede1237,not endangered
3929,mjn,mapa1244,not endangered
3930,mjo,mala1459,not endangered
3931,mjp,mala1468,threatened
3932,mjq,mala1466,extinct
3933,mjr,mala1463,threatened
3934,mjs,mish1244,threatened
3935,mjt,saur1249,threatened
3936,mju,mann1245,nearly extinct
3937,mjv,mann1246,threatened
3938,mjw,karb1241,not endangered
3939,mjx,maha1291,threatened
3940,mjy,mahi1248,extinct
3941,mjz,majh1253,shifting
3942,mka,mbre1244,shifting
3943,mkb,malp1246,threatened
3944,mkc,sili1247,shifting
3945,mkd,mace1250,not endangered
3946,mke,mawc1242,not endangered
3947,mkf,miya1266,not endangered
3948,mkg,makc1235,shifting
3949,mki,dhat1238,not endangered
3950,mkj,moki1238,shifting
3951,mkk,byep1241,not endangered
3952,mkl,moko1243,not endangered
3953,mkm,mokl1243,shifting
3954,mkn,kupa1239,not endangered
3955,mko,ming1254,shifting
3956,mkp,moik1239,not endangered
3957,mkq,baym1241,extinct
3958,mkr,mala1495,threatened
3959,mks,sila1250,threatened
3960,mkt,vama1243,shifting
3961,mku,kony1250,not endangered
3962,mkv,mafe1237,nearly extinct
3963,mkw,kitu1245,not endangered
3964,mkx,cina1236,threatened
3965,mky,east2440,shifting
3966,mkz,maka1316,not endangered
3967,mla,malo1243,threatened
3968,mlb,mbul1262,threatened
3969,mlc,caol1238,not endangered
3970,mle,mana1298,shifting
3971,mlf,mall1246,not endangered
3972,mlh,mape1249,shifting
3973,mli,mali1283,threatened
3974,mlj,milt1241,shifting
3975,mlk,ilwa1237,shifting
3976,mll,malu1245,shifting
3977,mlm,mula1253,shifting
3978,mln,mala1484,not endangered
3979,mlo,mlom1238,shifting
3980,mlp,barg1252,threatened
3981,mlq,west2500,not endangered
3982,mlr,vame1236,not endangered
3983,mls,nucl1440,not endangered
3984,mlt,malt1254,not endangered
3985,mlu,toab1237,not endangered
3986,mlv,motl1237,threatened
3987,mlw,molo1266,not endangered
3988,mlx,malf1237,shifting
3989,mlz,mala1491,not endangered
3990,mma,mama1272,threatened
3991,mmb,momi1242,shifting
3992,mmc,mich1246,shifting
3993,mmd,maon1241,shifting
3994,mme,maee1241,shifting
3995,mmf,mund1334,threatened
3996,mmg,nort2839,shifting
3997,mmh,mehi1240,shifting
3998,mmi,musa1265,threatened
3999,mmj,majh1236,shifting
4000,mmk,mukh1238,not endangered
4001,mml,manm1238,shifting
4002,mmm,maii1238,shifting
4003,mmn,mama1275,not endangered
4004,mmo,mang1404,threatened
4005,mmp,siaw1243,moribund
4006,mmq,musa1266,shifting
4007,mmr,west2430,not endangered
4008,mmt,mala1489,shifting
4009,mmu,mmaa1238,threatened
4010,mmv,miri1270,extinct
4011,mmw,emae1237,shifting
4012,mmx,mada1285,threatened
4013,mmy,miga1249,not endangered
4014,mmz,maba1270,not endangered
4015,mna,mbul1263,not endangered
4016,mnb,muna1247,threatened
4017,mnc,manc1252,nearly extinct
4018,mnd,sala1273,extinct
4019,mne,naba1253,not endangered
4020,mnf,mund1327,not endangered
4021,mng,east2333,not endangered
4022,mnh,mono1270,threatened
4023,mni,mani1292,threatened
4024,mnj,munj1244,shifting
4025,mnk,mand1436,not endangered
4026,mnl,tial1239,threatened
4027,mnm,mape1250,not endangered
4028,mnn,sout2692,not endangered
4029,mnp,minb1244,not endangered
4030,mnq,minr1238,shifting
4031,mnr,mono1275,nearly extinct
4032,mns,mans1258,shifting
4033,mnu,merr1239,moribund
4034,mnv,renn1242,not endangered
4035,mnw,monn1252,threatened
4036,mnx,mani1235,threatened
4037,mny,many1259,not endangered
4038,mnz,moni1261,threatened
4039,moa,mwan1250,not endangered
4040,moc,moco1246,shifting
4041,mod,mobi1236,extinct
4042,moe,mont1268,threatened
4043,mog,mong1342,threatened
4044,moh,moha1258,shifting
4045,moi,mboi1246,threatened
4046,moj,monz1249,threatened
4047,mok,moro1289,shifting
4048,mom,moni1237,extinct
4049,moo,mono1268,not endangered
4050,mop,mopa1243,threatened
4051,moq,morb1239,moribund
4052,mor,moro1285,threatened
4053,mos,moss1236,not endangered
4054,mot,bari1297,threatened
4055,mou,mogu1251,not endangered
4056,mov,moha1256,moribund
4057,mow,moic1236,threatened
4058,mox,moli1248,not endangered
4059,moy,shek1244,not endangered
4060,moz,muku1242,not endangered
4061,mpa,mpot1240,not endangered
4062,mpb,mull1237,nearly extinct
4063,mpc,mang1381,nearly extinct
4064,mpd,mach1268,shifting
4065,mpe,maja1242,not endangered
4066,mpg,marb1239,not endangered
4067,mph,maun1240,threatened
4068,mpi,mpad1242,threatened
4069,mpj,mart1256,shifting
4070,mpk,mbar1260,shifting
4071,mpl,midd1327,not endangered
4072,mpm,yoso1239,threatened
4073,mpn,mind1255,shifting
4074,mpo,miuu1237,shifting
4075,mpp,miga1241,not endangered
4076,mpq,mati1255,shifting
4077,mpr,vang1243,not endangered
4078,mps,dadi1250,not endangered
4079,mpt,mian1256,shifting
4080,mpu,maku1278,moribund
4081,mpv,mung1272,moribund
4082,mpw,mapi1252,nearly extinct
4083,mpx,misi1243,not endangered
4084,mpy,mapi1250,extinct
4085,mpz,mpii1239,shifting
4086,mqa,maba1278,threatened
4087,mqb,mbuk1243,not endangered
4088,mqc,mang1408,threatened
4089,mqe,mate1260,threatened
4090,mqf,momu1241,shifting
4091,mqg,kota1275,not endangered
4092,mqh,tlaz1235,threatened
4093,mqi,mari1430,not endangered
4094,mqj,mama1276,not endangered
4095,mqk,raja1254,not endangered
4096,mql,mbel1240,not endangered
4097,mqm,sout2866,shifting
4098,mqn,moro1287,threatened
4099,mqo,modo1249,threatened
4100,mqp,mani1297,threatened
4101,mqq,mino1243,threatened
4102,mqr,mand1443,moribund
4103,mqs,west2600,threatened
4104,mqt,mokk1243,not endangered
4105,mqu,mand1425,not endangered
4106,mqv,mosi1248,moribund
4107,mqw,muru1273,threatened
4108,mqx,mamu1255,threatened
4109,mqy,mang1405,not endangered
4110,mqz,mala1487,not endangered
4111,mra,mlab1235,shifting
4112,mrb,mari1426,shifting
4113,mrc,mari1440,moribund
4114,mrd,west2418,shifting
4115,mre,mart1251,extinct
4116,mrf,else1239,shifting
4117,mrg,misi1242,not endangered
4118,mrh,mara1382,threatened
4119,mri,maor1246,shifting
4120,mrj,west2392,threatened
4121,mrk,hmwa1243,shifting
4122,mrl,mort1237,shifting
4123,mrm,merl1237,not endangered
4124,mrn,chek1238,not endangered
4125,mro,mruu1242,threatened
4126,mrp,moro1286,shifting
4127,mrq,nort2845,shifting
4128,mrr,mari1414,not endangered
4129,mrs,mara1399,nearly extinct
4130,mrt,marg1265,not endangered
4131,mru,mono1269,moribund
4132,mrv,mang1401,shifting
4133,mrw,mara1404,threatened
4134,mrx,mare1261,moribund
4135,mry,kara1489,not endangered
4136,mrz,nucl1622,threatened
4137,msb,masb1238,not endangered
4138,msc,sank1253,threatened
4139,msd,yuca1236,shifting
4140,mse,muse1242,not endangered
4141,msf,mekw1241,moribund
4142,msg,mora1239,threatened
4143,msh,masi1268,not endangered
4144,msi,saba1263,not endangered
4145,msj,made1252,not endangered
4146,msk,mans1262,threatened
4147,msl,molo1262,shifting
4148,msm,agus1235,not endangered
4149,msn,vure1239,shifting
4150,mso,nucl1452,shifting
4151,msp,mari1442,extinct
4152,msq,caac1237,shifting
4153,msr,mong1264,not endangered
4154,mss,west2535,shifting
4155,msu,muso1238,shifting
4156,msv,masl1241,shifting
4157,msw,mans1259,threatened
4158,msx,more1258,shifting
4159,msy,arua1260,shifting
4160,msz,moma1243,shifting
4161,mta,cota1241,not endangered
4162,mtb,anyi1244,not endangered
4163,mtc,muni1257,not endangered
4164,mtd,mual1241,not endangered
4165,mte,mono1273,shifting
4166,mtf,muri1260,shifting
4167,mtg,unaa1239,not endangered
4168,mth,mung1269,threatened
4169,mti,maiw1251,not endangered
4170,mtj,mosk1236,threatened
4171,mtk,mbee1250,threatened
4172,mtl,mont1280,threatened
4173,mtm,mato1250,extinct
4174,mtn,mata1288,extinct
4175,mto,toto1305,shifting
4176,mtp,wich1262,threatened
4177,mtq,muon1246,not endangered
4178,mtr,mewa1249,not endangered
4179,mts,yora1241,not endangered
4180,mtt,mota1237,shifting
4181,mtu,tutu1243,threatened
4182,mtv,asar1240,not endangered
4183,mtw,maga1264,not endangered
4184,mtx,tida1235,threatened
4185,mty,nabi1239,shifting
4186,mua,mund1325,not endangered
4187,mub,mubi1246,not endangered
4188,muc,mbuu1238,shifting
4189,mud,medn1235,extinct
4190,mue,medi1245,threatened
4191,mug,musg1254,not endangered
4192,muh,mund1326,not endangered
4193,mui,musi1241,not endangered
4194,muj,mabi1242,extinct
4195,muk,mugo1238,not endangered
4196,mum,maiw1249,not endangered
4197,muo,nyon1241,not endangered
4198,mup,malv1243,not endangered
4199,muq,east2371,not endangered
4200,mur,murl1244,threatened
4201,mus,cree1270,moribund
4202,mut,west2408,not endangered
4203,muu,yaak1241,moribund
4204,muv,muth1236,not endangered
4205,mux,boun1245,not endangered
4206,muy,muya1243,not endangered
4207,muz,murs1242,shifting
4208,mva,mana1295,shifting
4209,mvb,matt1238,extinct
4210,mvd,mamb1305,shifting
4211,mve,marw1256,not endangered
4212,mvf,peri1253,threatened
4213,mvg,yucu1250,threatened
4214,mvh,mire1238,not endangered
4215,mvi,miya1259,moribund
4216,mvk,mekm1240,shifting
4217,mvl,mbar1254,extinct
4218,mvn,mina1269,not endangered
4219,mvo,maro1244,not endangered
4220,mvp,duri1242,threatened
4221,mvq,moer1240,moribund
4222,mvr,mara1397,threatened
4223,mvs,mass1263,moribund
4224,mvt,mpot1241,shifting
4225,mvu,marf1238,not endangered
4226,mvv,taga1273,threatened
4227,mvw,mach1265,not endangered
4228,mvx,meos1237,shifting
4229,mvy,indu1241,threatened
4230,mvz,mesq1240,not endangered
4231,mwa,mwat1237,shifting
4232,mwb,juwa1238,shifting
4233,mwc,aree1239,not endangered
4234,mwe,mwer1248,not endangered
4235,mwf,murr1258,shifting
4236,mwg,aikl1237,not endangered
4237,mwh,mouk1239,not endangered
4238,mwi,labo1244,shifting
4239,mwk,kita1249,not endangered
4240,mwl,mira1251,threatened
4241,mwm,sarr1246,not endangered
4242,mwn,nyam1275,not endangered
4243,mwo,cent2058,threatened
4244,mwp,kala1377,moribund
4245,mwq,munc1235,not endangered
4246,mws,mwim1241,not endangered
4247,mwt,moke1242,shifting
4248,mwu,mitt1253,extinct
4249,mwv,ment1249,not endangered
4250,mww,hmon1333,not endangered
4251,mwz,moin1241,threatened
4252,mxa,nort2986,threatened
4253,mxb,tezo1238,shifting
4254,mxc,many1258,not endangered
4255,mxd,moda1244,threatened
4256,mxe,mele1250,not endangered
4257,mxf,malg1250,threatened
4258,mxg,mban1264,not endangered
4259,mxh,mvub1239,threatened
4260,mxi,moza1249,extinct
4261,mxj,miju1243,shifting
4262,mxk,nucl1458,shifting
4263,mxl,maxi1236,not endangered
4264,mxm,mera1242,not endangered
4265,mxn,moii1235,shifting
4266,mxo,mbow1246,shifting
4267,mxp,tlah1239,shifting
4268,mxq,juqu1238,shifting
4269,mxr,muri1259,shifting
4270,mxs,huit1252,threatened
4271,mxt,jami1235,threatened
4272,mxu,mada1293,not endangered
4273,mxv,metl1238,threatened
4274,mxw,namo1246,moribund
4275,mxx,maho1249,not endangered
4276,mxy,sout3002,threatened
4277,mxz,cent2072,moribund
4278,mya,nucl1310,not endangered
4279,myb,mbay1241,not endangered
4280,myc,maye1238,moribund
4281,mye,myen1241,not endangered
4282,myf,bamb1262,shifting
4283,myg,mant1267,threatened
4284,myh,maka1318,extinct
4285,myj,mang1387,shifting
4286,myk,mama1271,not endangered
4287,myl,moma1242,not endangered
4288,mym,meen1242,shifting
4289,myo,anfi1235,shifting
4290,myp,pira1253,threatened
4291,myr,muni1258,extinct
4292,mys,mesm1243,extinct
4293,myu,mund1330,shifting
4294,myv,erzy1239,shifting
4295,myw,muyu1244,not endangered
4296,myx,masa1299,not endangered
4297,myy,macu1260,shifting
4298,myz,clas1253,extinct
4299,mza,sant1436,threatened
4300,mzb,tumz1238,threatened
4301,mzc,mada1271,not endangered
4302,mzd,mali1280,threatened
4303,mze,mora1273,not endangered
4304,mzg,mona1241,N/A
4305,mzh,wich1264,threatened
4306,mzi,ixca1246,threatened
4307,mzj,many1261,not endangered
4308,mzk,nige1255,not endangered
4309,mzl,maza1292,threatened
4310,mzm,nucl1240,not endangered
4311,mzn,maza1291,not endangered
4312,mzo,mati1253,shifting
4313,mzp,movi1243,shifting
4314,mzq,mori1269,shifting
4315,mzr,maru1252,shifting
4316,mzs,maca1262,nearly extinct
4317,mzt,mint1239,moribund
4318,mzu,inap1241,shifting
4319,mzv,manz1243,not endangered
4320,mzw,degg1238,threatened
4321,mzx,mawa1271,extinct
4322,mzy,moza1235,not endangered
4323,mzz,maia1251,not endangered
4324,naa,naml1240,moribund
4325,nab,sout2994,shifting
4326,nac,nara1264,not endangered
4327,nae,naka1263,extinct
4328,naf,naba1256,not endangered
4329,nag,naga1394,not endangered
4330,naj,nalu1240,threatened
4331,nak,naka1262,not endangered
4332,nal,nali1244,threatened
4333,nam,nang1259,shifting
4334,nao,naab1241,not endangered
4335,nap,neap1235,threatened
4336,naq,nama1264,threatened
4337,nar,igut1238,threatened
4338,nas,naas1242,not endangered
4339,nat,hung1276,shifting
4340,nau,naur1243,shifting
4341,nav,nava1243,not endangered
4342,naw,nawu1242,not endangered
4343,nax,nakw1240,shifting
4344,nay,narr1259,extinct
4345,naz,coat1240,shifting
4346,nba,nyem1238,not endangered
4347,nbb,ndoe1238,threatened
4348,nbc,chan1313,threatened
4349,nbd,ngbi1238,nearly extinct
4350,nbe,kony1248,threatened
4351,nbg,naga1399,extinct
4352,nbh,ngam1282,threatened
4353,nbi,maon1238,threatened
4354,nbj,ngar1235,shifting
4355,nbk,nake1240,shifting
4356,nbm,ngba1284,not endangered
4357,nbn,kuri1260,shifting
4358,nbo,nkuk1238,threatened
4359,nbp,nnam1238,not endangered
4360,nbq,ngge1241,not endangered
4361,nbr,numa1252,not endangered
4362,nbs,nami1249,not endangered
4363,nbt,naaa1245,shifting
4364,nbu,rong1266,threatened
4365,nbv,ngam1267,threatened
4366,nbw,sout2784,not endangered
4367,nby,ning1275,shifting
4368,nca,iyoo1238,not endangered
4369,ncb,cent1990,threatened
4370,ncc,pona1250,not endangered
4371,ncd,nach1240,threatened
4372,nce,yale1246,shifting
4373,ncf,nots1237,not endangered
4374,ncg,nisg1240,moribund
4375,nch,cent2134,threatened
4376,nci,clas1250,extinct
4377,ncj,nort2957,not endangered
4378,nck,naka1260,moribund
4379,ncl,mich1245,threatened
4380,ncm,namb1293,not endangered
4381,ncn,naun1237,moribund
4382,nco,sibe1248,shifting
4383,ncq,nort3270,not endangered
4384,ncr,ncan1245,not endangered
4385,ncs,nica1238,shifting
4386,nct,chot1239,shifting
4387,ncu,chum1261,not endangered
4388,ncx,cent2133,threatened
4389,ncz,natc1249,extinct
4390,nda,ndas1238,not endangered
4391,ndb,kens1251,not endangered
4392,ndc,ndau1241,not endangered
4393,ndd,nden1250,not endangered
4394,nde,nort2795,not endangered
4395,ndg,nden1248,threatened
4396,ndh,ndal1241,not endangered
4397,ndi,samb1305,not endangered
4398,ndj,ndam1239,threatened
4399,ndk,ndak1241,not endangered
4400,ndl,ndol1238,not endangered
4401,ndm,ndam1251,shifting
4402,ndn,ngun1270,threatened
4403,ndo,ndon1254,not endangered
4404,ndp,ndoo1242,not endangered
4405,ndq,ndom1244,not endangered
4406,ndr,ndoo1241,threatened
4407,nds,nort2627,threatened
4408,ndt,ndun1249,threatened
4409,ndu,dugu1248,not endangered
4410,ndv,ndut1239,threatened
4411,ndw,ndob1238,not endangered
4412,ndx,ndug1245,threatened
4413,ndy,luto1241,not endangered
4414,ndz,ndog1248,not endangered
4415,nea,east2464,not endangered
4416,neb,tour1242,not endangered
4417,nec,nede1245,nearly extinct
4418,ned,ndeg1238,not endangered
4419,nee,kuma1276,threatened
4420,nef,nefa1235,nearly extinct
4421,neg,negi1245,moribund
4422,neh,nyen1254,threatened
4423,nej,neko1240,not endangered
4424,nek,neku1237,shifting
4425,nem,nemi1240,shifting
4426,nen,neng1238,not endangered
4427,neo,name1237,not endangered
4428,neq,nort2939,shifting
4429,ner,yaha1248,threatened
4430,nes,bhot1235,threatened
4431,net,nete1240,not endangered
4432,nev,nyah1249,not endangered
4433,new,newa1246,not endangered
4434,nex,neme1244,not endangered
4435,ney,neyo1238,not endangered
4436,nez,nezp1238,nearly extinct
4437,nfa,dhao1237,shifting
4438,nfd,ahwa1235,not endangered
4439,nfl,ayiw1239,threatened
4440,nfr,nafa1258,not endangered
4441,nfu,mfum1238,not endangered
4442,nga,ngba1285,not endangered
4443,ngb,nort2774,not endangered
4444,ngc,ngom1268,not endangered
4445,ngd,ngan1304,not endangered
4446,nge,ngem1255,not endangered
4447,ngg,ngba1287,not endangered
4448,ngh,nngg1234,nearly extinct
4449,ngi,ngiz1242,threatened
4450,ngj,ngie1242,not endangered
4451,ngk,ngal1292,nearly extinct
4452,ngl,lomw1241,not endangered
4453,ngm,ngat1248,moribund
4454,ngn,ngwo1241,not endangered
4455,ngp,ngul1246,not endangered
4456,ngq,ngur1263,not endangered
4457,ngr,nang1262,moribund
4458,ngs,gvok1239,not endangered
4459,ngt,ngeq1245,shifting
4460,ngu,guer1241,not endangered
4461,ngv,nagu1244,extinct
4462,ngw,ngwa1251,threatened
4463,ngx,nggw1242,shifting
4464,ngy,tibe1274,threatened
4465,ngz,ngun1272,not endangered
4466,nha,nhan1238,nearly extinct
4467,nhb,beng1286,not endangered
4468,nhc,taba1265,nearly extinct
4469,nhd,chir1286,shifting
4470,nhe,east2538,threatened
4471,nhf,nhuw1239,extinct
4472,nhg,tete1251,threatened
4473,nhh,naha1262,threatened
4474,nhi,zaca1241,not endangered
4475,nhk,isth1240,threatened
4476,nhm,more1259,not endangered
4477,nhn,cent2132,threatened
4478,nho,taku1257,not endangered
4479,nhp,isth1241,threatened
4480,nhq,huax1236,shifting
4481,nhr,naro1249,threatened
4482,nht,omet1237,shifting
4483,nhu,noon1243,not endangered
4484,nhv,tema1239,shifting
4485,nhw,west2624,not endangered
4486,nhx,isth1242,not endangered
4487,nhy,nort2958,not endangered
4488,nhz,sant1423,shifting
4489,nia,nias1242,not endangered
4490,nib,naka1264,threatened
4491,nid,ngan1295,nearly extinct
4492,nie,niel1243,shifting
4493,nif,nekk1240,not endangered
4494,nig,ngal1293,extinct
4495,nih,nyih1240,not endangered
4496,nii,niii1240,not endangered
4497,nij,ngaj1237,not endangered
4498,nik,sout2689,shifting
4499,nil,nila1244,extinct
4500,nim,nila1242,not endangered
4501,nin,ninz1246,not endangered
4502,nio,ngan1291,moribund
4503,niq,nand1266,not endangered
4504,nir,nucl1633,moribund
4505,nis,nimi1240,not endangered
4506,nit,sout1549,shifting
4507,niu,niue1239,shifting
4508,niv,gily1242,moribund
4509,niw,nimo1247,shifting
4510,nix,hema1238,not endangered
4511,niy,ngit1239,not endangered
4512,niz,ning1273,shifting
4513,nja,nzan1240,threatened
4514,njb,noct1238,shifting
4515,njd,ndon1252,threatened
4516,njh,loth1237,not endangered
4517,nji,ngar1283,extinct
4518,njj,njen1238,not endangered
4519,njl,njal1239,shifting
4520,njm,anga1288,threatened
4521,njn,lian1251,threatened
4522,njo,aona1235,threatened
4523,njr,njer1242,nearly extinct
4524,njs,nisa1239,threatened
4525,njt,ndyu1241,extinct
4526,nju,ngad1258,extinct
4527,njx,kuny1238,not endangered
4528,njy,njye1238,not endangered
4529,njz,nyis1236,shifting
4530,nka,nkoy1244,not endangered
