,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
2349,Serbian,"Indo-European, Balto-Slavic, Slavic, South Slavic, Serbo-Croatian, Shtokavian, Neo-Shtokavian, Eastern Herzegovinian,  andŠumadija-Vojvodinian, Serbian","Indo-European, Balto-Slavic, Slavic, South Slavic, Serbo-Croatian, Shtokavian, Neo-Shtokavian, Eastern Herzegovinian,  andŠumadija-Vojvodinian, Serbian",srp,serb1264,c. 12 million ,Southeastern Europe, Serbia Kosovo (co-official) Bosnia and Herzegovina (co-official) Montenegro (co-official), Croatia Hungary Slovakia Czech Republic North Macedonia Romania,https://en.wikipedia.org/wiki/Serbian_language
2350,Serbo-Croatian,"Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic, Serbo-Croatian","Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic, Serbo-Croatian",hbstitle – inclusive codetitleIndividual codes:titlebostitle – titleBosniantitlecnrtitle – titleMontenegrintitlehrvtitle – titleCroatiantitlesrptitle – titleSerbiantitle title Related codes:titlesvmtitle – titleSlavomolisanotitleckmtitle – titleChakaviantitlekjvtitle – titleKajkavian,sout1528,18 million ,,"
Serbia (as Serbian)
Croatia (as Croatian)
Bosnia and Herzegovina (as Bosnian, Croatian, Serbian)
Montenegro (as Montenegrin)
Kosovo (as Serbian)
European Union (as Croatian)
","
Austria (Burgenland)
Hungary
Italy (Molise)
Romania (in Carașova, Lupac)citation needed
Slovakia
Czech Republic
North Macedonia
",https://en.wikipedia.org/wiki/Serbo-Croatian
2351,Serer,"Niger–Congo,Atlantic–Congo, West Atlantic, Senegambian, Serer","Niger–Congo,Atlantic–Congo, West Atlantic, Senegambian, Serer",srr,sere1260,1.9 million ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Serer_language
2352,Serili,"Austronesian, Malayo-Polynesian,  (MP), Central–Eastern MP, Babar, South Babar, Masela–Southeast, Serili","Austronesian, Malayo-Polynesian,  (MP), Central–Eastern MP, Babar, South Babar, Masela–Southeast, Serili",sve,seri1255,Uknown,Maluku,Unknown,Unknown,https://en.wikipedia.org/wiki/Serili_language
2353,Seroa,"Tuu, ǃKwi, Eastern, Seroa","Tuu, ǃKwi, Eastern, Seroa",kqu,sero1239,Uknown,South Africa,Unknown,Unknown,https://en.wikipedia.org/wiki/Seroa_dialect
2354,Seru,"Austronesian, Malayo-Polynesian, Greater North Borneo, Central Sarawak, PuUknown–Müller-Schwaner, PuUknown, Seru","Austronesian, Malayo-Polynesian, Greater North Borneo, Central Sarawak, PuUknown–Müller-Schwaner, PuUknown, Seru",(szd deprecated in 2023),(insufficiently attested or not a distinct language)titleseru1247,Uknown,Sarawak,Unknown,Unknown,https://en.wikipedia.org/wiki/Seru_language
2355,Shabo,"Language isolate, . Previously linked withNilo-Saharan","Language isolate, . Previously linked withNilo-Saharan",sbf,shab1252,400 ,western SNNPR,Unknown,Unknown,https://en.wikipedia.org/wiki/Shabo_language
2356,Shan,"Kra–Dai, Tai, Southwestern, Northwestern (Shan), Shan","Kra–Dai, Tai, Southwestern, Northwestern (Shan), Shan",shn,shan1277,4.7 million ,Shan State,Unknown, Myanmar,https://en.wikipedia.org/wiki/Shan_language
2357,Shan,"Kra–Dai, Tai, Southwestern, Northwestern (Shan), Shan","Kra–Dai, Tai, Southwestern, Northwestern (Shan), Shan",shn,shan1277,4.7 million ,Shan State,Unknown, Myanmar,https://en.wikipedia.org/wiki/Tai_Rong_language
2358,Shan_State,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shan_State
2359,Shan_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shan_people
2360,Shanghai,Uknown,Uknown,Not provided,,Uknown,East China,Unknown,Unknown,https://en.wikipedia.org/wiki/Shanghai
2361,Shanghainese,"Sino-Tibetan, Sinitic, Chinese, Wu, Taihu/Northern, Su–Hu–Jia / Shanghai, Shanghainese","Sino-Tibetan, Sinitic, Chinese, Wu, Taihu/Northern, Su–Hu–Jia / Shanghai, Shanghainese",–,shan1293title  Shanghainese,14 million[citation needed] ,Shanghainese proper traditionally in the urban center of Shanghai; Bendihua varieties spoken throughout Shanghai and parts of nearby Nantong,Unknown,Unknown,https://en.wikipedia.org/wiki/Shanghaiese
2362,Shark_Bay,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shark_Bay
2363,Shatt,"Nilo-Saharan,Eastern Sudanic, Kir–Abbaian,Daju, Eastern, Shatt","Nilo-Saharan,Eastern Sudanic, Kir–Abbaian,Daju, Eastern, Shatt",shj,shat1244,"30,000 ",South Kordofan,Unknown,Unknown,https://en.wikipedia.org/wiki/Shatt_language
2364,Shavian_alphabet,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shavian_alphabet
2365,Shawnee,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shawnee
2366,Shehri,"Afro-Asiatic, Semitic, West Semitic, South Semitic, Modern South Arabian, Eastern Modern South Arabian, Shehri","Afro-Asiatic, Semitic, West Semitic, South Semitic, Modern South Arabian, Eastern Modern South Arabian, Shehri",shv,sheh1240,"85,000 ",Dhofar,Unknown,Unknown,https://en.wikipedia.org/wiki/Shehri_language
2367,Sherdukpen_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sherdukpen_people
