glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment
niha1238,Nihali,nll,language,Eurasia,21.1886,76.3318,nihali,Nihali,2000,Critically endangered
nang1256,Ningalami,,dialect,Eurasia,34.978375,70.90901,ningalami,Ningalami,200,Severely endangered
nise1244,Nisenan,nsz,language,North America,38.047,-120.393,nisenan,Nisenan,0,Extinct
nisg1240,Nisga'a,ncg,language,North America,55.199,-129.192,nisga'a,Nisga'a,265,Severely endangered
nisv1234,Nisvai,,language,Papunesia,-16.41306,167.785556,nisvai,Nisvai,20,Critically endangered
niue1239,Niuean,niu,language,Papunesia,-19.06,-169.86,niuean,Niuean,14000,Definitely endangered
niva1239,Nivat,,dialect,Papunesia,-16.27185,167.45138,nivat,Nivat,5,Critically endangered
nivi1234,Niviar,,dialect,Papunesia,,,niviar,Niviar,5,Critically endangered
njal1239,Njalgulgule,njl,language,Africa,8.70752,26.1147,njalgulgule,Njalgulgule,900,Severely endangered
njer1242,Njerep,njr,language,Africa,6.82183,11.521,njerep,Njerep,4,Critically endangered
noma1263,Nomatsiguenga,not,language,South America,-11.5349,-74.4371,nomatsiguenga,Nomatsiguenga,4500,Severely endangered
nook1247,Nooksack,nok,language,North America,48.2201,-121.973,nooksack,Nooksack,0,Extinct
noon1242,Noon,snf,language,Africa,14.792,-16.9205,noon,Noon,10925,Vulnerable
noot1239,Nootka,noo,language,North America,49.6212,-126.086,nootka,Nootka,185,Severely endangered
nort3290,Northern Algonquin,,dialect,North America,,,northern algonquin,Northern Algonquin,1180,Vulnerable
nort2875,Northern Alta,aqn,language,Papunesia,15.6913,121.454,northern alta,Northern Alta,200,Severely endangered
nort1552,Northern East Cree,crl,language,North America,55.1928,-77.7505,northern east cree,Northern East Cree,6870,Vulnerable
mans1258,Northern Mansi,mns,language,Eurasia,64.4118,61.344,northern mansi,Northern Mansi,2746,Severely endangered
nort2984,Northern Pame,pmq,language,North America,22.0968,-99.6434,northern pame,Northern Pame,337,Definitely endangered
nort2966,Northern Pomo,pej,language,North America,39.1084,-123.209,northern pomo,Northern Pomo,3,Critically endangered
nort2968,Northern Sierra Miwok,nsq,language,North America,38.4179,-120.588,northern sierra miwok,Northern Sierra Miwok,6,Critically endangered
stra1244,Northern Straits Salish,str,language,North America,48.51614,-123.757114,northern straits salish,Northern Straits Salish,65,Critically endangered
nort2732,Northern Tujia,tji,language,Eurasia,29.3016,109.759,northern tujia,Northern Tujia,60000,Severely endangered
nort2941,Northern Tutchone,ttm,language,North America,62.8235,-136.644,northern tutchone,Northern Tutchone,115,Definitely endangered
nort2671,North Saami,sme,language,Eurasia,68.725,22.1113,north saami,North Saami,30000,Definitely endangered
nort2942,North Slavey,scs,language,North America,63.5,-125.67,north slavey,North Slavey,720,Definitely endangered
noyy1238,Noy,noy,language,Africa,9.42495,17.9136,noy,Noy,36,Critically endangered
nuba1241,Nubaca,baf,language,Africa,4.35696,11.029,nubaca,Nubaca,800,Severely endangered
nuku1260,Nukuoro,nkr,language,Papunesia,3.84,154.975,nukuoro,Nukuoro,860,Definitely endangered
nupb1238,Nupbikha,npb,language,Eurasia,27.4301,90.534,nupbikha,Nupbikha,0,Vulnerable
nusa1245,Nusa Laut,nul,language,Papunesia,-3.67727,128.776,nusa laut,Nusa Laut,10,Critically endangered
nyam1271,Nyamal,nly,language,Australia,-21.6092,119.693,nyamal,Nyamal,20,Severely endangered
nyan1313,Nyang'i,nyp,language,Africa,3.4997,33.73651,nyang'i,Nyang'i,0,Extinct
nyan1301,Nyangumarta,nna,language,Australia,-20.6271,121.391,nyangumarta,Nyangumarta,250,Vulnerable
obis1242,Obispeño,obi,language,North America,35.2873,-120.669,obispeño,Obispeño,0,Extinct
obok1239,Obokuitai,afz,language,Papunesia,-2.88029,137.924,obokuitai,Obokuitai,120,Vulnerable
odut1238,Odut,oda,language,Africa,5.20317,8.27253,odut,Odut,0,Extinct
ofay1240,Ofayé,opy,language,South America,-22.278,-53.7227,ofayé,Ofayé,12,Critically endangered
oira1263,Oirata,oia,language,Papunesia,-8.09044,127.201,oirata,Oirata,1221,Definitely endangered
okan1243,Okanagan,oka,language,North America,49.2745,-119.294,okanagan,Okanagan,130,Definitely endangered
prus1238,Old Prussian,prg,language,Eurasia,52.394,14.757,old prussian,Old Prussian,0,Extinct
sire1246,Old Sirenik,ysr,language,Eurasia,64.5192,-173.925,old sirenik,Old Sirenik,0,Extinct
olra1234,Olrat,olr,dialect,Papunesia,-14.313,167.433,olrat,Olrat,5,Critically endangered
omah1247,Omaha-Ponca,oma,language,North America,42.0944,-96.5295,omaha-ponca,Omaha-Ponca,50,Critically endangered
omot1239,Omotik,omt,language,Africa,-1.34401,35.6296,omotik,Omotik,50,Critically endangered
ongk1234,Ongkor Solon,,dialect,Eurasia,46.7774,83.0456,ongkor solon,Ongkor Solon,0,Extinct
bira1253,Ongota,bxe,language,Africa,5.29807,37.025,ongota,Ongota,8,Critically endangered
onin1245,Onin,oni,language,Papunesia,-2.75976,132.062,onin,Onin,500,Vulnerable
oran1258,Orang Kanaq,orn,language,Eurasia,1.88296,104.008,orang kanaq,Orang Kanaq,0,Extinct
oran1259,Orang Seletar,ors,language,Eurasia,1.45841,103.766,orang seletar,Orang Seletar,1500,Severely endangered
ordo1245,Ordos,,dialect,Eurasia,42.42,110.16,ordos,Ordos,100000,Definitely endangered
ormu1248,Ormu,orz,language,Papunesia,-2.51361,140.6015,ormu,Ormu,500,Vulnerable
ormu1247,Ormuri,oru,language,Eurasia,32.6819,69.3444,ormuri,Ormuri,1000,Definitely endangered
oroc1248,Oroch,oac,language,Eurasia,50.32354,137.85131,oroch,Oroch,100,Critically endangered
oroh1237,Oroha,ora,language,Papunesia,-9.7386,161.513,oroha,Oroha,100,Severely endangered
orok1265,Orok,oaa,language,Eurasia,49.36393,143.12819,orok,Orok,64,Critically endangered
orow1242,Orowe,bpk,language,Papunesia,-21.6269,165.473,orowe,Orowe,587,Definitely endangered
orow1243,Oro Win,orw,language,South America,-10.737,-64.0299,oro win,Oro Win,5,Critically endangered
osag1243,Osage,osa,language,North America,36.7828,-96.2949,osage,Osage,10,Critically endangered
otor1240,Otoro,otr,language,Africa,11.1187,30.573,otoro,Otoro,10000,Severely endangered
ouma1237,Ouma,oum,language,Papunesia,-10.2288,149.101,ouma,Ouma,4,Critically endangered
oyda1235,Oyda,oyd,language,Africa,6.13322,36.8541,oyda,Oyda,16597,Vulnerable
darl1243,Paakantyi,drl,language,Australia,-32.7021,142.695,paakantyi,Paakantyi,4,Critically endangered
paca1246,Pacahuara,pcp,language,South America,-11.9968,-65.5568,pacahuara,Pacahuara,18,Critically endangered
paci1278,Pacific Gulf Yupik,ems,language,North America,60.4238,-148.043,pacific gulf yupik,Pacific Gulf Yupik,200,Severely endangered
pada1257,Padam,,dialect,Eurasia,28.2463,95.3668,padam,Padam,20000,Vulnerable
pado1242,Padoe,pdo,language,Papunesia,-2.60642,121.236,padoe,Padoe,5000,Vulnerable
paez1247,Páez,pbb,language,South America,2.61516,-76.31254,páez,Páez,80000,Definitely endangered
paip1241,Paipai,ppi,language,North America,31.6063,-115.871,paipai,Paipai,226,Severely endangered
paiw1248,Paiwan,pwn,language,Papunesia,22.3271,120.806,paiwan,Paiwan,15000,Vulnerable
palu1252,Palu'e,ple,language,Papunesia,-8.32877,121.718,palu'e,Palu'e,3000,Definitely endangered
palu1237,Palumata,pmc,language,Papunesia,-3.024,128.762,palumata,Palumata,0,Extinct
pana1294,Pana,,dialect,Africa,,,pana,Pana,7800,Definitely endangered
pana1304,Panamahka,,dialect,North America,,,panamahka,Panamahka,9000,Vulnerable
pana1305,Panamint,par,language,North America,36.0007,-117.901,panamint,Panamint,20,Critically endangered
pana1307,Panará,kre,language,South America,-10.58,-53.0,panará,Panará,306,Vulnerable
enap1235,Panare,pbh,language,South America,6.95035,-65.8483,panare,Panare,3000,Vulnerable
pana1303,Panasuan,psn,language,Papunesia,-2.24049,119.65,panasuan,Panasuan,800,Definitely endangered
pano1255,Panobo,pno,language,South America,-7.16666,-75.0,panobo,Panobo,0,Extinct
papa1238,Papantla Totonac,top,language,North America,20.5671,-97.2554,papantla totonac,Papantla Totonac,49748,Definitely endangered
papa1265,Papapana,ppn,language,Papunesia,-5.92283,155.289,papapana,Papapana,150,Definitely endangered
papi1255,Papi,ppe,language,Papunesia,-4.4725,142.011,papi,Papi,75,Severely endangered
nucl1579,Papora,,dialect,Papunesia,,,papora,Papora,0,Extinct
para1299,Parachi,prc,language,Eurasia,36.0432,70.8805,parachi,Parachi,6000,Definitely endangered
pary1242,Parya,paq,language,Eurasia,36.4922,69.26,parya,Parya,7000,Severely endangered
pasi1259,Pasi,psq,language,Papunesia,-3.95195,142.307,pasi,Pasi,1000,Definitely endangered
patl1234,Patla-Chicontla Totonac,tot,language,,,,patla-chicontla totonac,Patla-Chicontla Totonac,8590,Severely endangered
patw1250,Patwin,pwi,language,North America,39.2143,-122.0094,patwin,Patwin,1,Critically endangered
paul1238,Paulohi,plh,language,Papunesia,-3.25404,128.779,paulohi,Paulohi,50,Critically endangered
pauw1243,Pauwi,,language,Papunesia,-1.65,137.8,pauwi,Pauwi,100,Vulnerable
pawn1254,Pawnee,paw,language,North America,36.2862,-96.8937,pawnee,Pawnee,10,Critically endangered
paze1234,Pazeh,,dialect,Papunesia,,,pazeh,Pazeh,1,Critically endangered
pear1247,Pear,pcb,language,Eurasia,13.593,105.028,pear,Pear,250,Severely endangered
pech1241,Pech,pay,language,North America,15.8033,-85.558,pech,Pech,900,Severely endangered
pemo1245,Pémono,pev,language,South America,5.248,-66.082,pémono,Pémono,1,Critically endangered
pend1242,Pendau,ums,language,Papunesia,-0.11396,119.862,pendau,Pendau,3200,Vulnerable
peng1244,Pengo,peg,language,Eurasia,19.3435,83.6552,pengo,Pengo,1254,Critically endangered
pent1242,Pentlatch,ptw,language,North America,49.1936,-124.689,pentlatch,Pentlatch,0,Extinct
phon1243,Phong,,dialect,Eurasia,18.60928,104.92259,phong,Phong,300,Definitely endangered
phun1245,Phunoi,pho,language,Eurasia,20.7996,100.957,phunoi,Phunoi,37311,Vulnerable
phut1246,Phuthi,,language,Africa,-30.42311,27.94815,phuthi,Phuthi,43000,Definitely endangered
piam1243,Piame,pin,language,Papunesia,-4.85835,142.784,piame,Piame,100,Severely endangered
pica1241,Picard,pcd,language,Eurasia,50.2831,3.25085,picard,Picard,700000,Severely endangered
pija1235,Pijao,pij,language,South America,0.49999,-75.3333,pijao,Pijao,0,Extinct
pije1237,Pije,piz,language,Papunesia,-20.7824,164.942,pije,Pije,161,Severely endangered
pila1245,Pilagá,plg,language,South America,-25.0058,-60.1537,pilagá,Pilagá,3000,Vulnerable
ping1243,Pingelapese,pif,language,Papunesia,6.20743,160.711,pingelapese,Pingelapese,2500,Severely endangered
pipi1250,Pipil,ppl,language,North America,13.8931,-89.443,pipil,Pipil,200,Critically endangered
pira1253,Pirahã,myp,language,South America,-6.77713,-61.8167,pirahã,Pirahã,389,Vulnerable
piru1241,Piru,ppr,language,Papunesia,-3.05368,128.197,piru,Piru,0,Extinct
pisa1237,Pisaflores Tepehua,tpp,language,North America,20.7039,-98.0305,pisaflores tepehua,Pisaflores Tepehua,2578,Vulnerable
pisa1245,Pisamira,,language,South America,1.1017,-70.502483,pisamira,Pisamira,25,Critically endangered
pite1240,Pite Saami,sje,language,Eurasia,66.4011,17.4261,pite saami,Pite Saami,20,Critically endangered
pitj1243,Pitjantjatjara,pjt,language,Australia,-26.9704,131.357,pitjantjatjara,Pitjantjatjara,3000,Vulnerable
piuu1237,Piu,pix,language,Papunesia,-6.96694,146.455,piu,Piu,130,Definitely endangered
plai1258,Plains Cree,crk,language,North America,51.2437,-110.463,plains cree,Plains Cree,20933,Vulnerable
plau1238,Plautdietsch,pdt,language,North America,49.578028,-109.353868,plautdietsch,Plautdietsch,300000,Definitely endangered
pola1255,Polabian,pox,language,Eurasia,52.0,14.0,polabian,Polabian,0,Extinct
poqo1253,Poqomam,poc,language,North America,14.73252,-89.73796,poqomam,Poqomam,11273,Definitely endangered
poqo1254,Poqomchi',poh,language,North America,15.3586,-90.5813,poqomchi',Poqomchi',92941,Vulnerable
pras1239,Prasun,prn,language,Eurasia,35.420531,70.922783,prasun,Prasun,2000,Definitely endangered
prov1235,Provençal,,dialect,Eurasia,44.0,6.0,provençal,Provençal,150000,Severely endangered
puin1248,Puinave,pui,language,South America,3.92974,-67.6886,puinave,Puinave,7377,Definitely endangered
baga1275,Pukur,bcg,language,Africa,10.5271,-14.6111,pukur,Pukur,3000,Definitely endangered
puma1239,Puma,pum,language,Eurasia,27.0774,86.838,puma,Puma,4310,Severely endangered
pump1237,Pumpokol,xpm,language,Eurasia,58.5,92.0,pumpokol,Pumpokol,0,Extinct
puri1259,Purisimeño,puy,language,North America,34.6866,-120.431,purisimeño,Purisimeño,0,Extinct
puru1264,Puruborá,pur,language,South America,-11.4226,-62.4358,puruborá,Puruborá,2,Critically endangered
puru1266,Purum,pub,language,Eurasia,25.3887,95.0935,purum,Purum,503,Critically endangered
pwap1237,Pwapwa,pop,language,Papunesia,-20.8133,164.556,pwapwa,Pwapwa,80,Severely endangered
pyuu1245,Pyu,pby,language,Papunesia,-4.45003,141.018,pyu,Pyu,100,Severely endangered
pyuu1245,Pyu,pby,language,Papunesia,-4.45003,141.018,pyu,Pyu,0,Extinct
qawa1238,Qawasqar,alc,language,South America,-49.303195,-74.707536,qawasqar,Qawasqar,20,Critically endangered
quap1242,Quapaw,qua,language,North America,34.15,-92.0,quapaw,Quapaw,0,Extinct
quec1382,Quechan,yum,language,North America,32.7859,-114.599,quechan,Quechan,150,Definitely endangered
quil1240,Quileute,qui,language,North America,47.9106,-124.603,quileute,Quileute,0,Extinct
rabh1238,Rabha,rah,language,Eurasia,25.8248,91.1689,rabha,Rabha,150000,Vulnerable
raha1237,Rahambuu,raz,language,Papunesia,-3.24627,121.059,rahambuu,Rahambuu,4000,Vulnerable
raji1240,Raji,rji,language,Eurasia,28.6151,81.577,raji,Raji,2413,Severely endangered
rama1270,Rama,rma,language,North America,11.5007,-83.8571,rama,Rama,30,Critically endangered
rang1266,Rangkas,rgk,language,Eurasia,29.2278,80.0845,rangkas,Rangkas,0,Extinct
raoo1244,Rao,rao,language,Papunesia,-4.85243,144.511,rao,Rao,15000,Definitely endangered
rapa1244,Rapanui,rap,language,Papunesia,-27.113,-109.342,rapanui,Rapanui,2500,Severely endangered
raut1239,Raute,rau,language,Eurasia,28.9518,81.1617,raute,Raute,518,Severely endangered
remb1249,Rembarrnga,rmb,language,Australia,-12.9608,134.308,rembarrnga,Rembarrnga,10,Critically endangered
repa1237,Repanbitip,rpn,dialect,Papunesia,-16.3265,167.619,repanbitip,Repanbitip,90,Definitely endangered
resh1242,Reshe,res,language,Africa,10.77046,4.62395,reshe,Reshe,44000,Vulnerable
resi1247,Resígaro,rgr,language,South America,-1.169535,-71.60524,resígaro,Resígaro,5,Critically endangered
rikb1245,Rikbaktsa,rkb,language,South America,-11.1887,-58.1942,rikbaktsa,Rikbaktsa,900,Severely endangered
