,glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang,url
574,piuu1237,Piu,pix,language,Papunesia,-6.96694,146.455,piu,Piu,130,Definitely endangered,Piu,"Austronesian
	Malayo-Polynesian
		Oceanic
			Western Oceanic
				North New Guinea
					\xa0
						Ngero–Vitiaz
							\xa0
								Huon Gulf
									South Huon Gulf
										Hote–Buang
											Buang
												Piu
													
	","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, \xa0, Ngero–Vitiaz, \xa0, Huon Gulf, South Huon Gulf, Hote–Buang, Buang, Piu",pix,100 ,Morobe Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Piu_language
575,plai1258,Plains Cree,crk,language,North America,51.2437,-110.463,plains cree,Plains Cree,20933,Vulnerable,Plains Cree,"Algic
	Algonquian
		Cree
			-
				Montagnais
					-
						Naskapi
							2
								Cree
									Plains Cree
										
	","Algic, Algonquian, Cree, -, Montagnais, -, Naskapi, 2, Cree, Plains Cree",crk,"3,200 ","Manitoba, Saskatchewan, Alberta, Montana","Northwest Territories (Canada), as ""Cree""",Unknown,https://en.wikipedia.org/wiki/Plains_Cree_language
576,plau1238,Plautdietsch,pdt,language,North America,49.578028,-109.353868,plautdietsch,Plautdietsch,300000,Definitely endangered,Plautdietsch,"Indo-European
	Germanic
		West Germanic
			North Sea Germanic
				Low German
					Low Prussian
						
							Plautdietsch
								
	","Indo-European, Germanic, West Germanic, North Sea Germanic, Low German, Low Prussian, , Plautdietsch",pdt,"450,000 ","Argentina, Belize, Bolivia, Brazil, Canada, Germany, Kazakhstan, Mexico, Paraguay, Peru, United States, Uruguay",Unknown," Mexico (,+)",https://en.wikipedia.org/wiki/Plautdietsch
577,plau1238,Plautdietsch,pdt,language,North America,49.578028,-109.353868,plautdietsch,Plautdietsch,300000,Definitely endangered,Plautdietsch,"['Indo-European'
	'Germanic'
		'West Germanic'
			'North Sea Germanic'
				'Low German'
					'Low Prussian'
						'?'
							'Plautdietsch']
								
	",,pdt,"450,000 (2007)[1]","Argentina, Belize, Bolivia, Brazil, Canada, Germany, Kazakhstan, Mexico, Paraguay, Peru, United States, Uruguay",," Mexico (100,000+)[2]",https://en.wikipedia.org/wiki/Plautdietsch_language
578,pola1255,Polabian,pox,language,Eurasia,52.0,14.0,polabian,Polabian,0,Extinct,Polabian,"Indo-European
	Balto-Slavic
		Slavic
			West Slavic
				Lechitic
					3
						West Lechitic
							4
								Polabian
									
	","Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, 3, West Lechitic, 4, Polabian",pox,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Polabian_language
579,poqo1253,Poqomam,poc,language,North America,14.73252,-89.73796,poqomam,Poqomam,11273,Definitely endangered,Poqomam,"Mayan
	\nCore Mayan
		Quichean–Mamean
			Greater Quichean
				Pocom
					Poqomam
						
	","Mayan, \nCore Mayan, Quichean–Mamean, Greater Quichean, Pocom, Poqomam",poc,"11,000 ",Alta Verapaz,Unknown, Guatemala,https://en.wikipedia.org/wiki/Poqomam_language
580,poqo1254,Poqomchi',poh,language,North America,15.3586,-90.5813,poqomchi',Poqomchi',92941,Vulnerable,Poqomchiʼ,"Mayan
	\nQuichean–Mamean
		Greater Quichean
			Poqom
				Poqomchiʼ
					
	","Mayan, \nQuichean–Mamean, Greater Quichean, Poqom, Poqomchiʼ",poh,"130,000 ",Baja Verapaz,Unknown,Unknown,https://en.wikipedia.org/wiki/Poqomchi%CA%BC_language
581,prov1235,Provençal,,dialect,Eurasia,44.0,6.0,provençal,Provençal,150000,Severely endangered,Provençal,"Indo-European
	Italic
		Latino-Faliscan
			Latin
				Romance
					Italo-Western
						Western Romance
							Gallo-Romance
								Occitano-Romance
									Occitan
										Provençal
											
	","Indo-European, Italic, Latino-Faliscan, Latin, Romance, Italo-Western, Western Romance, Gallo-Romance, Occitano-Romance, Occitan, Provençal",prvtitle  (retired); subsumed in titleoci,,,Unknown,Unknown,https://en.wikipedia.org/wiki/Proven%C3%A7al_language
582,puin1248,Puinave,pui,language,South America,3.92974,-67.6886,puinave,Puinave,7377,Definitely endangered,Puinavé,"unclassified
	
	",unclassified,pui,"3,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Puinave_language
583,baga1275,Pukur,bcg,language,Africa,10.5271,-14.6111,pukur,Pukur,3000,Definitely endangered,Mboteni,"Niger–Congo
	\n
		\n 
			Atlantic–Congo
				Rio Nunez
					Mboteni
						
	","Niger–Congo, \n, \n , Atlantic–Congo, Rio Nunez, Mboteni",bcg,"3,700 ",coastal villages of Binari and Mboteni,Unknown,Unknown,https://en.wikipedia.org/wiki/Mboteni_language
584,baga1275,Pukur,bcg,language,Africa,10.5271,-14.6111,pukur,Pukur,3000,Definitely endangered,Mboteni,"Niger–Congo
	\n
		\n 
			Atlantic–Congo
				Rio Nunez
					Mboteni
						
	","Niger–Congo, \n, \n , Atlantic–Congo, Rio Nunez, Mboteni",bcg,"3,700 ",coastal villages of Binari and Mboteni,Unknown,Unknown,https://en.wikipedia.org/wiki/Pukur_language
585,pump1237,Pumpokol,xpm,language,Eurasia,58.5,92.0,pumpokol,Pumpokol,0,Extinct,Pumpokol,"Dené–Yeniseian
	\n
		Yeniseian
			Southern Yeniseian
				Arin
					–Pumpokol
						Pumpokol
							
	","Dené–Yeniseian, \n, Yeniseian, Southern Yeniseian, Arin, –Pumpokol, Pumpokol",xpm,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Pumpokol_language
586,puri1259,Purisimeño,puy,language,North America,34.6866,-120.431,purisimeño,Purisimeño,0,Extinct,Purisimeño,"Chumashan
	\nSouthern
		Central
			Purisimeño
				
	","Chumashan, \nSouthern, Central, Purisimeño",puy,Uknown,Lompoc,Unknown,Unknown,https://en.wikipedia.org/wiki/Purisime%C3%B1o_language
587,pwap1237,Pwapwa,pop,language,Papunesia,-20.8133,164.556,pwapwa,Pwapwa,80,Severely endangered,Pwapwa,"Austronesian
	Malayo-Polynesian
		Oceanic
			Southern Oceanic
				New Caledonian – Loyalties
					New Caledonian
						Northern New Caledonian
							North Northern
								
									Pwapwa
										
	","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Northern New Caledonian, North Northern, , Pwapwa",pop,40 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Pwapw%C3%A2_language
588,raha1237,Rahambuu,raz,language,Papunesia,-3.24627,121.059,rahambuu,Rahambuu,4000,Vulnerable,Rahambuu,"Austronesian
	Malayo-Polynesian
		Celebic
			Bungku–Tolaki
				Western
					West Coast
						Rahambuu
							
	","Austronesian, Malayo-Polynesian, Celebic, Bungku–Tolaki, Western, West Coast, Rahambuu",raz,,Sulawesi,Unknown,Unknown,https://en.wikipedia.org/wiki/Rahambuu_language
589,rang1266,Rangkas,rgk,language,Eurasia,29.2278,80.0845,rangkas,Rangkas,0,Extinct,Rangas,"Sino-Tibetan
	Rangas
		
	","Sino-Tibetan, Rangas",rgk,Uknown,Uttarakhand,Unknown,Unknown,https://en.wikipedia.org/wiki/Rangas_language
590,raut1239,Raute,rau,language,Eurasia,28.9518,81.1617,raute,Raute,518,Severely endangered,Raute,"Sino-Tibetan
	Raji–Raute
		Raute–
			Rawat
				Raute
					
	","Sino-Tibetan, Raji–Raute, Raute–, Rawat, Raute",rau,460 ,Nepal,Unknown,Unknown,https://en.wikipedia.org/wiki/Raute_language
591,resh1242,Reshe,res,language,Africa,10.77046,4.62395,reshe,Reshe,44000,Vulnerable,Reshe,"Niger–Congo
	\n
		Atlantic–Congo
			Benue–Congo
				Kainji
					Reshe
						
	","Niger–Congo, \n, Atlantic–Congo, Benue–Congo, Kainji, Reshe",res,,"Kebbi State, Niger State",Unknown,Unknown,https://en.wikipedia.org/wiki/Reshe_language
592,resi1247,Resígaro,rgr,language,South America,-1.169535,-71.60524,resígaro,Resígaro,5,Critically endangered,Resígaro,"Arawakan
	\nNorthern
		Upper Amazon
			Western Nawiki
				Resígaro
					
	","Arawakan, \nNorthern, Upper Amazon, Western Nawiki, Resígaro",rgr,1 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Res%C3%ADgaro_language
593,riri1237,Ririo,rri,language,Papunesia,-6.88927,156.92,ririo,Ririo,18,Critically endangered,Ririo,"Austronesian
	Malayo-Polynesian
		Oceanic
			Western
				Meso-Melanesian
					Northwest Solomonic
						Choiseul
							Ririo
								
	","Austronesian, Malayo-Polynesian, Oceanic, Western, Meso-Melanesian, Northwest Solomonic, Choiseul, Ririo",rri,18 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ririo_language
594,rita1239,Ritharrngu,rit,language,Australia,-13.4559,135.259,ritharrngu,Ritharrngu,66,Definitely endangered,Ritharnggu,"Pama–Nyungan
	Yolngu Matha
		Southern (Dhuwal)
			Ritharnggu
				
	","Pama–Nyungan, Yolngu Matha, Southern (Dhuwal), Ritharnggu",rit,9 ,Northern Territory,Unknown,Unknown,https://en.wikipedia.org/wiki/Ritharrngu_language
595,roma1326,Romansh,roh,language,Eurasia,46.5538,9.92812,romansh,Romansh,35095,Definitely endangered,Romansh,"Indo-European
	Italic
		Latino-Faliscan
			Romance
				Italo-Western
					Western Romance
						Gallo-Romance
							Rhaeto-Romance
								 or Gallo-Rhaetian
									3
										Romansh
											
	","Indo-European, Italic, Latino-Faliscan, Romance, Italo-Western, Western Romance, Gallo-Romance, Rhaeto-Romance,  or Gallo-Rhaetian, 3, Romansh",roh,"Main language: 40,000 ",Grisons (Graubünden),  Switzerland,Unknown,https://en.wikipedia.org/wiki/Romansh_language
596,roma1326,Romansh,roh,language,Eurasia,46.5538,9.92812,romansh,Romansh,35095,Definitely endangered,Romansh,"['Indo-European'
	'Italic'
		'Latino-Faliscan'
			'Romance'
				'Italo-Western'
					'Western Romance'
						'Gallo-Romance'
							'Rhaeto-Romance'
								' or Gallo-Rhaetian'
									'[3]'
										'Romansh']
											
	","['Sursilvan', 'Tuatschin', 'Vallader', 'Jauer', 'Putèr', 'Surmiran', 'Sutsilvan']",roh,"Main language: 40,000 (2019)[1]Regular speakers: 60,000 (2000)[2]",Grisons (Graubünden),  Switzerland,,https://en.wikipedia.org/wiki/Romansh_language
597,rong1264,Rongpo,rnp,language,Eurasia,30.528,79.567,rongpo,Rongpo,8000,Vulnerable,Rangpo,"Sino-Tibetan
	Tibeto-Kanauri
		\xa0
			West Himalayish
				Rangpo–Almora
					Rangpo
						
	","Sino-Tibetan, Tibeto-Kanauri, \xa0, West Himalayish, Rangpo–Almora, Rangpo",rnp,"7,500 ",Uttarakhand,Unknown,Unknown,https://en.wikipedia.org/wiki/Rongpo_language
598,rotu1241,Rotuman,rtm,language,Papunesia,-12.5008,177.066,rotuman,Rotuman,3000,Vulnerable,Rotuman,"Austronesian
	Malayo-Polynesian
		Central–Eastern Malayo-Polynesian
			
				Eastern Malayo-Polynesian
					Oceanic
						Central–Eastern Oceanic
							
								Central Pacific
									West Fijian – Rotuman
										Rotuman
											
	","Austronesian, Malayo-Polynesian, Central–Eastern Malayo-Polynesian, , Eastern Malayo-Polynesian, Oceanic, Central–Eastern Oceanic, , Central Pacific, West Fijian – Rotuman, Rotuman",rtm,"7,500 ",Rotuma," Rotuma, Fiji", Fiji,https://en.wikipedia.org/wiki/Rotuman_language
599,ruga1238,Ruga,ruh,language,Eurasia,25.506,91.469,ruga,Ruga,100,Critically endangered,Ruga,"Sino-Tibetan
	Tibeto-Burman
		Sal
			Bodo–Garo
				Koch
					Ruga
						
	","Sino-Tibetan, Tibeto-Burman, Sal, Bodo–Garo, Koch, Ruga",ruh,10 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ruga_language
600,ruka1240,Rukai,dru,language,Papunesia,22.7738,120.844,rukai,Rukai,2000,Vulnerable,Rukai,"Austronesian
	Rukai
		
	","Austronesian, Rukai",dru,"10,500 ",Pingtung CountyKaohsiung CountyTaitung County,Unknown,Unknown,https://en.wikipedia.org/wiki/Rukai_language
601,rush1239,Rushani,,dialect,Eurasia,38.07829,71.58549,rushani,Rushani,30000,Definitely endangered,Rushani,"Indo-European
	Indo-Iranian
		Iranian
			Eastern Iranian
				Pamiri
					Rushani
						
	","Indo-European, Indo-Iranian, Iranian, Eastern Iranian, Pamiri, Rushani",–,,,Unknown,Unknown,https://en.wikipedia.org/wiki/Rushani_language
602,rusy1239,Rusyn,rue,language,Eurasia,48.7171,22.9579,rusyn,Rusyn,1000000,Vulnerable,Rusyn,"Indo-European
	Balto-Slavic
		Slavic
			East Slavic
				Rusyn
					
	","Indo-European, Balto-Slavic, Slavic, East Slavic, Rusyn",rue,"70,000 ",, Serbia (in Vojvodina), Bosnia and Herzegovina Croatia Czech Republic Hungary Poland Romania Slovakia,https://en.wikipedia.org/wiki/Rusyn_language
603,rusy1239,Rusyn,rue,language,Eurasia,48.7171,22.9579,rusyn,Rusyn,1000000,Vulnerable,Rusyn,"['Indo-European'
	'Balto-Slavic'
		'Slavic'
			'East Slavic'
				'Rusyn']
					
	","['Lemko', '[10]', 'Prešov', '[10]', 'Subcarpathian', '[10]', 'Pannonian']",rue,"70,000 (2001–2013)[1]Slovakia – 38,679[2]Serbia – 15,626[3]Poland – 10,000[4]Ukraine – 6,725[5]Croatia – 2,337[6]Hungary – 1,113[7]Czech Republic – 777[8]",, Serbia (in Vojvodina)[12][13], Bosnia and Herzegovina[12] Croatia[12] Czech Republic[12] Hungary[12][14] Poland[12][15] Romania[12] Slovakia[12],https://en.wikipedia.org/wiki/Rusyn_language
604,rutu1240,Rutul,rut,language,Eurasia,41.6187,47.3244,rutul,Rutul,29383,Definitely endangered,Rutul,"Northeast Caucasian
	Lezgic
		Samur
			Western Samur
				Rutul
					
	","Northeast Caucasian, Lezgic, Samur, Western Samur, Rutul",rut,"36,400 ","Southern Dagestan, Russian–Azerbaijani border"," Russia
 Dagestan
",Unknown,https://en.wikipedia.org/wiki/Rutul_language
605,saar1237,Saaroa,sxr,language,Papunesia,23.2632,120.711,saaroa,Saaroa,1500,Critically endangered,Saaroa,"Austronesian
	Tsouic
		\xa0
			Saaroa–Kanakanabu
				Saaroa
					
	","Austronesian, Tsouic, \xa0, Saaroa–Kanakanabu, Saaroa",sxr,10 ,"west central Mountains of Taiwan, south and southeast of Minchuan, along the Laonung River",Unknown,Unknown,https://en.wikipedia.org/wiki/Saaroa_language
606,saba1268,Sabanê,sae,language,South America,-12.9857,-60.335,sabanê,Sabanê,3,Critically endangered,Sabanê,"Nambikwaran
	Sabanê
		
	","Nambikwaran, Sabanê",sae,3 ,Rondônia,Unknown,Unknown,https://en.wikipedia.org/wiki/Saban%C3%AA_language
607,sach1240,Sach,,dialect,Eurasia,,,sach,Sach,1000,Definitely endangered,Sach,"Austroasiatic
	Vietic
		Chut
			1
				Sach
					
	","Austroasiatic, Vietic, Chut, 1, Sach",–,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sach_language
608,saek1240,Saek,skb,language,Eurasia,17.4558,104.787,saek,Saek,25000,Definitely endangered,Saek,"Kra–Dai
	Tai
		Northern Tai
			Saek
				
	","Kra–Dai, Tai, Northern Tai, Saek",skb,"10,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Saek_language
609,sais1237,Saisiyat,xsy,language,Papunesia,24.6043,121.067,saisiyat,Saisiyat,200,Severely endangered,Saisiyat,"Austronesian
	Northwest Formosan
		Saisiyat
			
	","Austronesian, Northwest Formosan, Saisiyat",xsy,"4,750 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Saisiyat_language
610,sala1264,Salar,slr,language,Eurasia,35.5457,102.819,salar,Salar,104503,Vulnerable,Salar,"Turkic
	Common Turkic
		Oghuz
			2
				3
					4
						Salar
							
	","Turkic, Common Turkic, Oghuz, 2, 3, 4, Salar",slr,"70,000 ","Qinghai, Gansu, Xinjiang"," China
Xunhua Salar Autonomous County
Jishishan BoUnknown, Dongxiang and Salar Autonomous County
",Unknown,https://en.wikipedia.org/wiki/Salar_language
611,sali1298,Sáliba,slc,language,South America,5.30115,-69.3843,sáliba,Sáliba,2000,Severely endangered,Saliba,"Piaroa–Saliban
	Saliba
		
	","Piaroa–Saliban, Saliba",slc,,,Unknown,Unknown,https://en.wikipedia.org/wiki/Saliba_language
612,salu1253,Saluan,loe,language,Papunesia,-2.748,121.3,saluan,Saluan,1500,Vulnerable,Saluan,"Austronesian
	Malayo-Polynesian
		Celebic
			Saluan–Banggai
				Saluanic
					Saluan
						
	","Austronesian, Malayo-Polynesian, Celebic, Saluan–Banggai, Saluanic, Saluan",loe,,Sulawesi,Unknown,Unknown,https://en.wikipedia.org/wiki/Saluan_language
