,name,glottocode,iso6393,aes_status,Degree of endangerment,family,family_id,dialects,child_dialect_count,child_family_count,child_language_count,speakers,Number of speakers,regions,macroarea,latitude,longitude,level,type,scope,bookkeeping,description,markup_description,country_ids,parent_id,off_lang,rec_min_lang,Wikipedia_Url
909,Wumboko,wumb1241,bqm,threatened,Data not available,<ul><li>None</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,Data not available
910,Bulgarian Sign Language,bulg1240,bqn,not endangered,Data not available,<ul><li>French Sign</li><ul><li>Austro-Hungarian Sign</li><ul><li>?</li><ul><li>Russian Sign Language</li><ul><li> creole?</li><ul><li>Bulgarian Sign Language</li></ul></ul></ul></ul></ul></ul>,sign1238,Data not available,0.0,0.0,0.0,"21,000 (2021 DBS/DOOR/SIL)[1] (2014)[2]",Data not available,Data not available,Eurasia,42.7918,25.0026,language,living,individual,False,Data not available,Data not available,BG,cent2306,Data not available,Data not available,https://en.wikipedia.org/wiki/Bulgarian_Sign_Language
911,Balo,balo1264,bqo,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Southern Bantoid</li><ul><li>Grassfields</li><ul><li>Southwest</li><ul><li>Balo</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Alunfa,0.0,0.0,0.0,"2,200 (2000)[1]",Data not available,Data not available,Africa,6.12552,9.69365,language,living,individual,False,Data not available,Data not available,CM,sout3181,Data not available,Data not available,https://en.wikipedia.org/wiki/Balo_language
912,Busa,busa1253,bqp,not endangered,Data not available,<ul><li>None</li></ul>,mand1469,Data not available,3.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,9.91074,4.39929,language,living,individual,False,Data not available,Data not available,NG,boko1265,Data not available,Data not available,https://en.wikipedia.org/wiki/Busa_language_(Mande)
913,Biritai,biri1259,bqq,shifting,Data not available,<ul><li>Lakes Plain</li><ul><li>Central</li><ul><li>Biritai</li></ul></ul></ul>,lake1255,Data not available,0.0,0.0,0.0,(250 cited 1988)[1],Data not available,"Biri village in East Central Mambermano District, Mamberamo Raya Regency, Papua",Papunesia,-2.92042,137.68,language,living,individual,False,Data not available,Data not available,ID,erit1238,Data not available,Data not available,https://en.wikipedia.org/wiki/Biritai_language
914,Burusu,buru1304,bqr,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>North Bornean</li><ul><li>Southwest Sabahan</li><ul><li>Murutic</li><ul><li>Northern</li><ul><li>Burusu</li></ul></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,"4,400 (2007)[1]",Data not available,Borneo,Papunesia,3.36912,117.012,language,living,individual,False,Data not available,Data not available,ID,tidu1238,Data not available,Data not available,https://en.wikipedia.org/wiki/Burusu_language
915,Bosngun,bosn1248,bqs,shifting,Data not available,<ul><li>Ramu</li><ul><li>Ramu proper</li><ul><li>Lower Ramu</li><ul><li>Ottilien</li><ul><li>Bosman–Awar</li><ul><li>Bosman</li></ul></ul></ul></ul></ul></ul>,ramu1234,Data not available,0.0,0.0,0.0,"1,300 (2004)[1]",Data not available,Madang Province (5 villages),Papunesia,-4.16201,144.647,language,living,individual,False,Data not available,Data not available,PG,bosn1247,Data not available,Data not available,https://en.wikipedia.org/wiki/Bosmun_language
916,Bamukumbit,bamu1254,bqt,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Volta-Congo</li><ul><li>Benue–Congo</li><ul><li>Bantoid</li><ul><li>Southern Bantoid</li><ul><li>Grassfields</li><ul><li>Eastern Grassfields</li><ul><li>Mbam-Nkam</li><ul><li>Nun</li><ul><li>Bamukumbit</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"12,000 (2008)[1]",Data not available,Data not available,Africa,5.87292,10.3537,language,living,individual,False,Data not available,Data not available,CM,nunm1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Bamukumbit_language
917,Boguru,bogu1241,bqu,shifting,Critically endangered,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Volta-Congo</li><ul><li>Benue–Congo</li><ul><li>Bantoid</li><ul><li>Southern Bantoid</li><ul><li>Bantu</li><ul><li>Boan</li><ul><li>Bomokandian</li><ul><li>Ngendan</li><ul><li>?</li><ul><li>Guru</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,2.0,0.0,0.0,Data not available,494.0,Data not available,Africa,4.49213,29.1344,language,living,individual,False,Data not available,Data not available,"CD, SS",unun9928,Data not available,Data not available,https://en.wikipedia.org/wiki/Guru_language
918,Koro Wachi,begb1241,bqv,threatened,Data not available,<ul><li>None</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,Data not available
919,Buru (Nigeria),buru1299,bqw,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Volta-Congo</li><ul><li>Benue–Congo</li><ul><li>Bantoid</li><ul><li>Southern Bantoid</li><ul><li>Buru–Angwe</li></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"(undated figure of 1,000 speakers of Buru; potentially substantially more of Angwe)[1]",Data not available,"Sardauna LGA, Taraba State",Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Buru%E2%80%93Angwe_language
920,Baangi,baan1242,bqx,shifting,Data not available,<ul><li>Niger–Congo</li><ul><li>Benue–Congo</li><ul><li>Kainji</li><ul><li>Kambari</li><ul><li>Baangi</li></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"28,000 (2021)[1]",Data not available,Niger State,Africa,10.8083,5.7261,language,living,individual,False,Data not available,Data not available,NG,east2739,Data not available,Data not available,https://en.wikipedia.org/wiki/Baangi_language
921,Bengkala Sign Language,beng1239,bqy,shifting,Data not available,<ul><li>Language isolate</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,One village in the northern part of the island,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kata_Kolok
922,Bakaka,baka1273,bqz,threatened,Data not available,<ul><li>None</li></ul>,atla1278,Data not available,6.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,4.79991,9.80402,language,living,individual,False,Data not available,Data not available,CM,cent2284,Data not available,Data not available,Data not available
923,Braj,braj1242,bra,not endangered,Data not available,<ul><li>Indo-European</li><ul><li>Indo-Iranian</li><ul><li>Indo-Aryan</li><ul><li>Central Indo-Aryan</li><ul><li>Midland</li><ul><li>Braj</li></ul></ul></ul></ul></ul></ul>,indo1319,Data not available,6.0,0.0,0.0,"1,600,000 (2011 census)[1]Census results conflate some speakers with Hindi.[2]",Data not available,Braj,Eurasia,26.4758,78.0813,language,living,individual,False,Data not available,Data not available,IN,west2812,Data not available,Data not available,https://en.wikipedia.org/wiki/Braj_Bhasha
924,Lave,lave1249,brb,threatened,Data not available,<ul><li>None</li></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Brao_language
925,Berbice Creole Dutch,berb1259,brc,extinct,Data not available,<ul><li>Dutch Creole</li><ul><li>Berbice Dutch Creole</li></ul></ul>,indo1319,Data not available,0.0,0.0,0.0,Data not available,Data not available,Guyana,South America,5.3829,-58.0002,language,extinct,individual,False,Data not available,Data not available,GY,zeeu1239,Data not available,Data not available,https://en.wikipedia.org/wiki/Berbice_Creole_Dutch
926,Baraamu,bara1357,brd,nearly extinct,Data not available,<ul><li>Sino-Tibetan</li><ul><li>Tibeto-Burman</li><ul><li>Newaric</li><ul><li>Baram–Thangmi</li><ul><li>Baram</li></ul></ul></ul></ul></ul>,sino1245,Data not available,0.0,0.0,0.0,160 (2011 census)[1],Data not available,Nepal,Eurasia,28.3768,85.0584,language,living,individual,False,Data not available,Data not available,"CN, NP",than1258,Data not available,Data not available,https://en.wikipedia.org/wiki/Baram_language
927,Breton,bret1244,bre,not endangered,Severely endangered,<ul><li>None</li></ul>,indo1319,Data not available,6.0,0.0,0.0,Data not available,250000.0,Data not available,Eurasia,48.2452,-3.78934,language,living,individual,False,Data not available,Data not available,FR,midd1379,Data not available,Data not available,https://en.wikipedia.org/wiki/Breton_language
928,Bira,bera1259,brf,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Bantoid</li><ul><li>Bantu</li><ul><li> (</li><ul><li>Zone D.20–30</li><ul><li>)</li><ul><li>Boan</li><ul><li>Bomokandian</li><ul><li>Biran</li><ul><li>Bera</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"(120,000 cited 1992)[1]",Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bira_language
929,Baure,baur1253,brg,nearly extinct,Critically endangered,<ul><li>Arawakan</li><ul><li>Southern</li><ul><li>Bolivia–Parana</li><ul><li>Moxos</li><ul><li>Bauré</li></ul></ul></ul></ul></ul>,araw1281,Joaquiniano,6.0,0.0,0.0,20 (2010)[1],55.0,Beni Department,South America,-13.61,-63.68,language,living,individual,False,Data not available,Data not available,BO,boli1260, Bolivia,Data not available,https://en.wikipedia.org/wiki/Baure_language
930,Brahui,brah1256,brh,threatened,Vulnerable,<ul><li>Dravidian</li><ul><li>Northern</li><ul><li>Brahui</li></ul></ul></ul>,drav1251,Data not available,3.0,0.0,0.0,(2.8 million cited 1980–2017 Census)[1],500000.0,Balochistan,Eurasia,29.04,66.56,language,living,individual,False,Data not available,Data not available,"AF, IR, PK",nort2698,Data not available," Pakistan
 Balochistan[a]
",https://en.wikipedia.org/wiki/Brahui_language
931,Mokpwe,mokp1239,bri,threatened,Data not available,<ul><li>None</li></ul>,atla1278,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,4.24178,9.23887,language,living,individual,False,Data not available,Data not available,CM,kpwe1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Kpwe_language
932,Bieria,bier1246,brj,moribund,Critically endangered,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Oceanic</li><ul><li>Southern Oceanic</li><ul><li>North-Central Vanuatu</li><ul><li>Central Vanuatu</li><ul><li>Epi-Efate</li><ul><li>Epi</li><ul><li>Bieria</li></ul></ul></ul></ul></ul></ul></ul></ul></ul>,aust1307,"Bieria, Vovo",2.0,0.0,0.0,70 (2006)[2],25.0,Epi Island,Papunesia,-16.7867,168.232,language,living,individual,False,Data not available,Data not available,VU,bier1245,Data not available,Data not available,https://en.wikipedia.org/wiki/Bieria_language
933,Birked,birk1242,brk,extinct,Data not available,<ul><li>Nilo-Saharan</li><ul><li>Eastern Sudanic</li><ul><li>Northern Eastern</li><ul><li>Nubian</li><ul><li>Central</li><ul><li>Birgid</li></ul></ul></ul></ul></ul></ul>,nubi1251,Data not available,0.0,0.0,0.0,Data not available,Data not available,South Darfur,Africa,12.5,24.83,language,extinct,individual,False,Data not available,Data not available,SD,cent2232,Data not available,Data not available,https://en.wikipedia.org/wiki/Birgid_language
934,Birwa,birw1238,brl,threatened,Data not available,<ul><li>None</li></ul>,atla1278,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,-22.17,28.33,language,living,individual,False,Data not available,Data not available,"BW, ZA, ZW",nort3233,Data not available,Data not available,https://en.wikipedia.org/wiki/Birwa_language
935,Barambu,bara1361,brm,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Zande</li><ul><li>Barambo–Pambia</li><ul><li>Barambu</li></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"(26,000 cited 1990 census)[1]",Data not available,Data not available,Africa,3.34642,26.861,language,living,individual,False,Data not available,Data not available,CD,bara1360,Data not available,Data not available,https://en.wikipedia.org/wiki/Barambu_language
936,Boruca,boru1252,brn,extinct,Critically endangered,<ul><li>Chibchan</li><ul><li>Boruca</li></ul></ul>,chib1249,Data not available,0.0,0.0,0.0,3 (2007)[1],70.0,Data not available,North America,8.88093,-83.2124,language,living,individual,False,Data not available,Data not available,CR,west2641,Data not available,Data not available,https://en.wikipedia.org/wiki/Boruca_language
937,Brokkat,brok1249,bro,shifting,Definitely endangered,<ul><li>Sino-Tibetan</li><ul><li>Tibeto-Kanauri</li><ul><li>\xa0?</li><ul><li>Bodish</li><ul><li>Tibetic</li><ul><li>Dzongkha–Lhokä</li><ul><li>Brokkat</li></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,(300 cited 1993)[1],300.0,Bhutan,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Brokkat_language
938,Barapasi,bara1375,brp,threatened,Data not available,<ul><li>East Geelvink Bay</li><ul><li>Baropasi</li></ul></ul>,geel1240,Data not available,2.0,0.0,0.0,"(2,500 cited 1995)[1]",Data not available,"Upper Waropen District, Mamberamo Raya Regency, Papua, Indonesia",Papunesia,-2.28732,137.054,language,living,individual,False,Data not available,Data not available,ID,bara1399,Data not available,Data not available,https://en.wikipedia.org/wiki/Baropasi_language
939,Breri,brer1240,brq,shifting,Data not available,<ul><li>None</li></ul>,ramu1234,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Papunesia,-4.73271,144.707,language,living,individual,False,Data not available,Data not available,PG,brer1241,Data not available,Data not available,https://en.wikipedia.org/wiki/Iski_language
940,Birao,bira1254,brr,not endangered,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Oceanic</li><ul><li>Southeast Solomonic</li><ul><li>Gela–Guadalcanal</li><ul><li>Guadalcanal</li><ul><li>Birao</li></ul></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,"(5,900 cited 1999)[1]",Data not available,Guadalcanal,Papunesia,-9.73716,160.52,language,living,individual,False,Data not available,Data not available,SB,sout2854,Data not available,Data not available,https://en.wikipedia.org/wiki/Birao_language
941,Baras,bara1371,brs,shifting,Severely endangered,<ul><li>None</li></ul>,aust1307,Data not available,0.0,0.0,0.0,Data not available,200.0,Data not available,Papunesia,-1.5667,119.342,language,living,individual,False,Data not available,Data not available,ID,comm1248,Data not available,Data not available,Data not available
942,Bitare,bita1251,brt,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Southern Bantoid</li><ul><li>Tivoid</li><ul><li>North</li><ul><li>Bitare</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"52,000 (2000–2003)[1]",Data not available,Data not available,Africa,6.87398,11.3072,language,living,individual,False,Data not available,Data not available,"CM, NG",nort3192,Data not available,Data not available,https://en.wikipedia.org/wiki/Bitare_language
943,Eastern Bru,east2332,bru,threatened,Data not available,<ul><li>None</li></ul>,aust1305,Data not available,4.0,0.0,0.0,Data not available,Data not available,Data not available,Eurasia,17.1311,105.671,language,living,individual,False,Data not available,Data not available,"LA, VN",east2783,Data not available,Data not available,Data not available
944,Western Bru,west2397,brv,threatened,Data not available,<ul><li>None</li></ul>,aust1305,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Eurasia,16.4906,104.754,language,living,individual,False,Data not available,Data not available,"LA, TH",west2870,Data not available,Data not available,Data not available
945,Bellari,bell1261,brw,shifting,Data not available,<ul><li>Dravidian</li><ul><li>South Dravidian</li><ul><li>South Dravidian I</li><ul><li>Southwestern Dravidian</li><ul><li>Bellari</li></ul></ul></ul></ul></ul>,drav1251,Data not available,0.0,0.0,0.0,"1,000 (2007)[1]",Data not available,Karnataka & Kerala,Eurasia,13.64667,74.86354,language,living,individual,False,Data not available,Data not available,IN,tulu1261,Data not available,Data not available,https://en.wikipedia.org/wiki/Bellari_language
946,Bodo (India),bodo1269,brx,threatened,Data not available,<ul><li>Sino-Tibetan</li><ul><li>Tibeto-Burman</li><ul><li>Central Tibeto-Burman languages</li><ul><li> (?)</li><ul><li>Sal</li><ul><li>Boro–Garo</li><ul><li>Boroic</li><ul><li>Boro</li></ul></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,1.4 million (2011 census)[1],Data not available,Bodoland (Assam),Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,"India
Assam
",Data not available,https://en.wikipedia.org/wiki/Boro_language_(India)
947,Burui,buru1309,bry,shifting,Data not available,<ul><li>Sepik</li><ul><li>Middle Sepik</li><ul><li>Ndu</li><ul><li>Burui</li></ul></ul></ul></ul>,nduu1242,Data not available,0.0,0.0,0.0,260 (2000)[1],Data not available,East Sepik Province,Papunesia,-4.03527,143.015,language,living,individual,False,Data not available,Data not available,PG,bund1258,Data not available,Data not available,https://en.wikipedia.org/wiki/Burui_language
948,Bilbil,bilb1241,brz,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Oceanic</li><ul><li>Western Oceanic</li><ul><li>North New Guinea</li><ul><li>\xa0?</li><ul><li>Ngero–Vitiaz</li><ul><li>Bel</li><ul><li>Nuclear Bel</li><ul><li>Northern</li><ul><li>Bil Bil</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"1,300 (2003)[1]",Data not available,"south of Madang town, Madang Province",Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bilibil_language
949,Abinomn,abin1243,bsa,nearly extinct,Data not available,<ul><li>Language isolate</li></ul>,Data not available,Data not available,0.0,0.0,0.0,300 (2002)[1],Data not available,"Mamberamo Hulu District, Mamberamo Raya Regency, Papua",Papunesia,-2.92281,138.891,language,living,individual,False,Data not available,Data not available,ID,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Abinomn_language
950,Brunei Bisaya,brun1245,bsb,not endangered,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>North Bornean</li><ul><li>Southwest Sabahan</li><ul><li>Dusunic</li><ul><li>Bisaya–Lotud</li><ul><li>Bisaya</li></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"60,000 (2007)[1]",Data not available,"Brunei, Sarawak",Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Brunei_Bisaya_language
951,Bassari,bass1258,bsc,threatened,Vulnerable,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Atlantic</li><ul><li>Senegambian</li><ul><li>Tenda</li><ul><li>Basari–Bedik</li><ul><li>Basari</li></ul></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"31,000 (2017)[1]",17910.0,Data not available,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available, Senegal,https://en.wikipedia.org/wiki/Bassari_language
952,Wushi,wush1238,bse,not endangered,Data not available,<ul><li>None</li></ul>,atla1278,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,6.07415,10.6035,language,living,individual,False,Data not available,Data not available,CM,sout2822,Data not available,Data not available,https://en.wikipedia.org/wiki/Wushi_language
953,Bauchi,bauc1238,bsf,threatened,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Kainji</li><ul><li>Shiroro</li><ul><li>Baushi–Fungwa</li><ul><li>Bauchi</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,3.0,0.0,0.0,"(20,000 cited 1988)[1]",Data not available,"Rafi, Nigeria LGA, Niger State",Africa,10.2077,6.61686,language,living,individual,False,Data not available,Data not available,NG,shir1275,Data not available,Data not available,https://en.wikipedia.org/wiki/Bauchi_language
954,Bashkardi,bash1263,bsg,shifting,Definitely endangered,<ul><li>None</li></ul>,indo1319,Data not available,18.0,0.0,0.0,Data not available,7000.0,Data not available,Eurasia,32.0,53.0,language,living,individual,False,Data not available,Data not available,IR,mode1259,Data not available,Data not available,https://en.wikipedia.org/wiki/Bashkardi_language
955,Kati,kati1270,bsh,shifting,Definitely endangered,<ul><li>Indo-European</li><ul><li>Indo-Iranian</li><ul><li>Nuristani</li><ul><li>Northern</li><ul><li>Kamkata-vari</li><ul><li>Kata-vari</li></ul></ul></ul></ul></ul></ul>,Data not available,Data not available,Data not available,Data not available,Data not available,"140,000 (2017)[1]",18700.0,"Nuristan, Kunar, Chitral",Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kata-vari_dialect
956,Bassossi,bass1260,bsi,not endangered,Data not available,<ul><li>None</li></ul>,atla1278,Data not available,2.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,5.23655,9.52275,language,living,individual,False,Data not available,Data not available,CM,mane1268,Data not available,Data not available,https://en.wikipedia.org/wiki/Sosi_language
957,Bangwinji,bang1348,bsj,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Waja–Kam</li><ul><li>Waja</li><ul><li>Tula languages</li><ul><li>Bangwinji</li></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,2.0,0.0,0.0,"(6,000 cited 1992)[1]",Data not available,"Shongom LGA, Gombe State",Africa,9.57157,11.2022,language,living,individual,False,Data not available,Data not available,NG,nucl1371,Data not available,Data not available,https://en.wikipedia.org/wiki/Bangwinji_language
958,Burushaski,buru1296,bsk,shifting,Vulnerable,<ul><li>Language isolate</li></ul>,Data not available,"Burushaski (Yasin), Burushaski (Hunza-Nagar)",3.0,0.0,0.0,"130,000 (2018–2020)[2]",87000.0,"Hunza, Nagar, Ghizer, Gilgit (Pakistan) and Hari Parbat, Jammu and Kashmir (India)[1]",Eurasia,36.2161,74.8236,language,living,individual,False,Data not available,Data not available,"IN, PK",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Burushaski
959,Basa-Gumna,basa1280,bsl,extinct,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Kainji</li><ul><li>Basa languages</li><ul><li>Kontagora–Gumna</li><ul><li>Basa-Gumna</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,Data not available,Data not available,Chanchaga,Africa,9.94207,6.58105,language,extinct,individual,False,Data not available,Data not available,NG,gumn1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Basa-Gumna_language
960,Busami,busa1254,bsm,threatened,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Central–Eastern Malayo-Polynesian</li><ul><li>Eastern Malayo-Polynesian</li><ul><li>South Halmahera–West New Guinea</li><ul><li>Cenderawasih Bay</li><ul><li>Yapen</li><ul><li>Central–Western</li><ul><li>Busami</li></ul></ul></ul></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,(700 cited 1993)[1],Data not available,Serui Island,Papunesia,-1.73681,136.032,language,living,individual,False,Data not available,Data not available,ID,seru1248,Data not available,Data not available,https://en.wikipedia.org/wiki/Busami_language
961,Barasana-Eduria,bara1380,bsn,shifting,Data not available,<ul><li>Tucanoan</li><ul><li>Eastern Tucanoan</li><ul><li>South</li><ul><li>Barasana–Macuna</li><ul><li>Barasano</li></ul></ul></ul></ul></ul>,tuca1253,"Barasana (Southern Barasano), Taiwano (Eduria)",3.0,0.0,0.0,"(1,900 cited 1993 census)[1]",Data not available,Data not available,South America,0.02193,-70.808,language,living,individual,False,Data not available,Data not available,"BR, CO",sout3006,Data not available,Data not available,https://en.wikipedia.org/wiki/Barasana-Eduria_language
962,Buso,buso1242,bso,moribund,Data not available,<ul><li>None</li></ul>,book1242,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,12.5008,17.6011,language,living,individual,True,Data not available,Data not available,TD,book1242,Data not available,Data not available,https://en.wikipedia.org/wiki/Buso_language
963,Baga Sitemu,baga1272,bsp,shifting,Severely endangered,<ul><li>None</li></ul>,atla1278,Data not available,1.0,0.0,0.0,Data not available,4000.0,Data not available,Africa,10.4793,-14.4756,language,living,individual,False,Data not available,Data not available,GN,temn1245,Data not available,Data not available,Data not available
964,Bassa,nucl1418,bsq,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Kru</li><ul><li>Western</li><ul><li>Bassa</li><ul><li>Bassa</li></ul></ul></ul></ul></ul></ul>,krua1234,Data not available,6.0,0.0,0.0,"410,000 (2006)[1]",Data not available,Data not available,Africa,7.27501,-11.543,language,living,individual,False,Data not available,Data not available,"LR, SL",bass1262,Data not available,Data not available,https://en.wikipedia.org/wiki/Bassa_language
965,Bassa-Kontagora,bass1259,bsr,extinct,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Kainji</li><ul><li>Basa languages</li><ul><li>Kontagora–Gumna</li><ul><li>Basa-Kontagora</li></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,Data not available,Data not available,Kontagora,Africa,10.3333,4.98331,language,living,individual,False,Data not available,Data not available,NG,gumn1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Basa-Kontagora_language
966,Akoose,akoo1248,bss,not endangered,Data not available,<ul><li>None</li></ul>,atla1278,Data not available,7.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,4.9243,9.65522,language,living,individual,False,Data not available,Data not available,CM,cent2284,Data not available,Data not available,Data not available
967,Basketo,bask1236,bst,threatened,Data not available,<ul><li>Afro-Asiatic</li><ul><li>Omotic</li><ul><li>North Omotic</li><ul><li>Ometo</li><ul><li>North</li><ul><li>Basketo</li></ul></ul></ul></ul></ul></ul>,gong1255,Data not available,0.0,0.0,0.0,"93,000 (2007 census)[1]",Data not available,Data not available,Africa,6.45774,36.5763,language,living,individual,False,Data not available,Data not available,ET,nort3161,Data not available,Data not available,https://en.wikipedia.org/wiki/Basketo_language
968,Bahonsuai,baho1237,bsu,shifting,Definitely endangered,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Celebic</li><ul><li>Bungku–Tolaki</li><ul><li>Bahonsuai</li></ul></ul></ul></ul></ul>,aust1307,Data not available,0.0,0.0,0.0,(200 cited 1999)[1],180.0,Sulawesi,Papunesia,-2.22572,121.707,language,living,individual,False,Data not available,Data not available,ID,east2490,Data not available,Data not available,https://en.wikipedia.org/wiki/Bahonsuai_language
969,Baga Sobané,baga1274,bsv,extinct,Data not available,<ul><li>None</li></ul>,book1242,Data not available,0.0,0.0,0.0,Data not available,Data not available,Data not available,Africa,9.98865,-13.9054,language,extinct,individual,True,Data not available,Data not available,GN,book1242,Data not available,Data not available,Data not available
