Name in English,Number of speakers,Degree of endangerment,Wikipedia URL
Kulun,0,Extinct,https://en.wikipedia.org/wiki/K%C3%BCriye
Kurtjar,0,Extinct,https://en.wikipedia.org/wiki/Kurtjar
Kw'adza,0,Extinct,https://en.wikipedia.org/wiki/Kw%27adza
Kwadi,0,Extinct,https://en.wikipedia.org/wiki/Kwadi_language
Kwisi,0,Extinct,https://en.wikipedia.org/wiki/Kwisi_people
Kyakala,0,Extinct,https://en.wikipedia.org/wiki/Kyakala_language
Laghu,0,Extinct,https://en.wikipedia.org/wiki/Laghu_language
Langthang Tibetan,0,Definitely endangered,https://en.wikipedia.org/wiki/Langthang_language
Lenca,0,Extinct,https://en.wikipedia.org/wiki/Lenca
Li-Ngbee,0,Extinct,https://en.wikipedia.org/wiki/Ngbee_language
Liliali,0,Extinct,https://en.wikipedia.org/wiki/Liliali_language
Lipan,0,Extinct,https://en.wikipedia.org/wiki/Lipan
Lishan Didan (Iran),0,Extinct,https://en.wikipedia.org/wiki/Lishan_Didan
Lishana Deni (Iraq),0,Extinct,https://en.wikipedia.org/wiki/Lishanid_Noshan
Lishanid Noshan (Iraq),0,Extinct,https://en.wikipedia.org/wiki/Lishanid_Noshan
Loke Tibetan,0,Definitely endangered,https://en.wikipedia.org/wiki/Loke_language
Lorkoti,0,Extinct,
Lower Chehalis,0,Extinct,https://en.wikipedia.org/wiki/Lower_Chehalis_language
Mahigi,0,Extinct,https://en.wikipedia.org/wiki/Foia_Foia_language
Máku,0,Extinct,https://en.wikipedia.org/wiki/Maku
Malin,0,Extinct,https://en.wikipedia.org/wiki/Malin
Mapia,0,Extinct,https://en.wikipedia.org/wiki/Mapia_Atoll
Maragus,0,Extinct,https://en.wikipedia.org/wiki/Tape_language
Marrgu,0,Extinct,https://en.wikipedia.org/wiki/Marrgu_language
Matagalpa,0,Extinct,https://en.wikipedia.org/wiki/Matagalpa
Mator,0,Extinct,https://en.wikipedia.org/wiki/Mator_language
Mattole,0,Extinct,https://en.wikipedia.org/wiki/Mattole
Miami-Illinois,0,Extinct,https://en.wikipedia.org/wiki/Miami-Illinois_language
Migueleño,0,Extinct,https://en.wikipedia.org/wiki/Salinan
Miraña (Brazil),0,Critically endangered,https://en.wikipedia.org/wiki/Mira%C3%B1a_language
Mirití Tapuia,0,Critically endangered,https://en.wikipedia.org/wiki/Miriti_language
Mlahso (Syria),0,Extinct,https://en.wikipedia.org/wiki/Mlahso_language
Mlahso (Turkey),0,Extinct,https://en.wikipedia.org/wiki/Mlahso_language
Mo-peng,0,Extinct,
Mochica,0,Extinct,https://en.wikipedia.org/wiki/Moche_culture
Moksela,0,Extinct,https://en.wikipedia.org/wiki/Moksela_language
Molala,0,Extinct,https://en.wikipedia.org/wiki/Molala
Mozarabic,0,Extinct,https://en.wikipedia.org/wiki/Andalusi_Romance
Mulaha,0,Extinct,https://en.wikipedia.org/wiki/Mulaha_language
Múra,0,Extinct,https://en.wikipedia.org/wiki/Mura_language
Nagumi,0,Extinct,https://en.wikipedia.org/wiki/Nagumi_language
Naka'ela,0,Extinct,https://en.wikipedia.org/wiki/Naka%27ela_language
Napore,0,Extinct,
Natchez,0,Extinct,https://en.wikipedia.org/wiki/Natchez
New River Shasta,0,Extinct,https://en.wikipedia.org/wiki/New_River_Shasta_language
Ngarla,0,Extinct,https://en.wikipedia.org/wiki/Ngarla
Ngong,0,Extinct,https://en.wikipedia.org/wiki/Ngong
Nila (Nila Island),0,Extinct,https://en.wikipedia.org/wiki/Nila_language
Nisenan,0,Extinct,https://en.wikipedia.org/wiki/Nisenan
Nooksack,0,Extinct,https://en.wikipedia.org/wiki/Nooksack
Norn,0,Extinct,https://en.wikipedia.org/wiki/Norn
Northeastern Pomo,0,Extinct,https://en.wikipedia.org/wiki/Northeastern_Pomo_language
Nukiní,0,Extinct,https://en.wikipedia.org/wiki/Nukini_language
Nupbikha,0,Vulnerable,https://en.wikipedia.org/wiki/Nupbi_language
Nyang'i,0,Extinct,https://en.wikipedia.org/wiki/Nyang%27i_language
Obispeño,0,Extinct,https://en.wikipedia.org/wiki/Obispe%C3%B1o_language
Odut,0,Extinct,https://en.wikipedia.org/wiki/Mbembe_language
Old Prussian,0,Extinct,https://en.wikipedia.org/wiki/Old_Prussian_language
Old Sirenik,0,Extinct,https://en.wikipedia.org/wiki/Sirenik_language
Omagua (Brazil),0,Critically endangered,https://en.wikipedia.org/wiki/Omagua_language
Ona,0,Extinct,https://en.wikipedia.org/wiki/Ona
Ongkor Solon,0,Extinct,https://en.wikipedia.org/wiki/Ongkor_Solon_language
Opon-Carare,0,Extinct,https://en.wikipedia.org/wiki/Opon_language
Orang Kanaq,0,Extinct,https://en.wikipedia.org/wiki/Orang_Kanaq
Palumata,0,Extinct,https://en.wikipedia.org/wiki/Hukumina_language
Panobo,0,Extinct,https://en.wikipedia.org/wiki/Wariapano_language
Papora,0,Extinct,https://en.wikipedia.org/wiki/Papora
Pentlatch,0,Extinct,https://en.wikipedia.org/wiki/Pentlatch_language
Phalok,0,Extinct,https://en.wikipedia.org/wiki/Phalok_language
Pijao,0,Extinct,https://en.wikipedia.org/wiki/Pijao_people
Piru,0,Extinct,https://en.wikipedia.org/wiki/Piru
Polabian,0,Extinct,https://en.wikipedia.org/wiki/Polabian
Pumpokol,0,Extinct,https://en.wikipedia.org/wiki/Pumpokol_language
Purisimeño,0,Extinct,https://en.wikipedia.org/wiki/Purisime%C3%B1o_language
Pyu,0,Extinct,https://en.wikipedia.org/wiki/Pyu
Quapaw,0,Extinct,https://en.wikipedia.org/wiki/Quapaw
Quileute,0,Extinct,https://en.wikipedia.org/wiki/Quileute
Qwarenya,0,Extinct,
Rangkas,0,Extinct,https://en.wikipedia.org/wiki/Rangas_language
Sanhaja of Srair,0,Critically endangered,"https://en.wikipedia.org/wiki/Sanhaja_de_Srair_language#:~:text=Senhaja%20de%20Srair%20(%22Senhaja%20of,speaking%20area%20in%20eastern%20Rif.&text=Despite%20its%20speech%20area%2C%20the,the%20Atlas%20branch%20of%20Berber."
Sei,0,Extinct,https://en.wikipedia.org/wiki/SEI
Sened,0,Extinct,https://en.wikipedia.org/wiki/Sened
Sengmai,0,Extinct,https://en.wikipedia.org/wiki/Chakpa_language
Serrano,0,Extinct,https://en.wikipedia.org/wiki/Serrano
