,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
436,Khoekhoe,"['Khoe–Kwadi', 'Khoe', 'Khoekhoe', 'Khoekhoe']","['Nama–Damara', 'Haiǁom–ǂĀkhoe']","Either:titlenaqtitle – Khoekhoe, Namatitlehgmtitle – titleHaiǁom",nort3245title  Subfamily: North Khoekhoetitlenama1264title  Language: Namatitlehaio1238title  Language: Haiǁom-Akhoe,"200,000 ± 10,000 (2011)[1]","Orange River, Great Namaland, Damaraland",, Namibia South Africa[a][2],https://en.wikipedia.org/wiki/Khoekhoe_language
437,Republic_of_Bulgaria,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Bulgaria
438,Äynu,"['Turkic', 'Common Turkic', 'Karluk', '[2]', 'Äynu']",,aib,ainu1251,"12,000 (2017)[1]",Xinjiang,,,https://en.wikipedia.org/wiki/%C3%84ynu_language
439,Rajasthani_languages,,,,,46 million[a][1] (2011 census)[1],,,,https://en.wikipedia.org/wiki/Rajasthani_languages
440,Monaco,,,,,,,,,https://en.wikipedia.org/wiki/Monaco
441,Asturias,,,,,,,,,https://en.wikipedia.org/wiki/Asturias
442,Berta,"['Nilo-Saharan', '?\n', 'Berta languages', 'Berta']","['Shuru', 'Bake', 'Undu', 'Mayu', 'Fadashi', 'Dabuso', 'Beleje Gonfoye']",wtititle  (all Berta languages),bert1248,"380,000 all Berta languages (2006–2007)[1]100,000 monolinguals in Ethiopia[1]",Benishangul-Gumuz,,,https://en.wikipedia.org/wiki/Berta_language
443,Jiangxi,,,,,,,,,https://en.wikipedia.org/wiki/Jiangxi
444,Pite Sámi,"['Uralic', 'Sámi', 'Western', 'Pite Sámi']",,sje,pite1240,25 to 50 (2010)[1],,,,https://en.wikipedia.org/wiki/Pite_S%C3%A1mi
445,E,"['mixed', ' ', 'Tai', '–', 'Pinghua']",,eee,eeee1240,"5,000 (2016)[1]","Guangxi, China",,,https://en.wikipedia.org/wiki/E_language
446,Veracruz,,,,,,,,,https://en.wikipedia.org/wiki/Veracruz
447,Pampanga,,,,,,Central Luzon,,,https://en.wikipedia.org/wiki/Pampanga
448,Vojvodina,,,,,,,,,https://en.wikipedia.org/wiki/Vojvodina
449,Jersey,,,,,,,,,https://en.wikipedia.org/wiki/Jersey
450,Republic_of_Zambia,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Zambia
451,Fon,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Volta–Niger', 'Gbe', 'Fon']","['Agbome', 'Arohun', 'Gbekon', 'Kpase']",fon,fonn1241title  Fon language,2.3 million (2019–2021)[1],, Benin,,https://en.wikipedia.org/wiki/Fon_language
452,British_Columbia,,,,,,,,,https://en.wikipedia.org/wiki/British_Columbia
453,Vedda,"['Sinhalese', ' - unknown ', 'language', ' creole\n', 'Vedda']",,ved,vedd1240,(undated figure of 300)[2],Uva Province,,,https://en.wikipedia.org/wiki/Vedda_language
454,Copts,,,,,,,,,https://en.wikipedia.org/wiki/Copts
455,Republic_of_Abkhazia,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Abkhazia
456,City_of_Los_Angeles,,,,,,Southern California,,,https://en.wikipedia.org/wiki/City_of_Los_Angeles
457,Republic_of_South_Africa,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_South_Africa
458,North_Dakota,,,,,,,,,https://en.wikipedia.org/wiki/North_Dakota
459,Vatican_City,,,,,,,,,https://en.wikipedia.org/wiki/Vatican_City
460,Bangladesh,,,,,,,,,https://en.wikipedia.org/wiki/Bangladesh
461,Iceland,,,,,,,,,https://en.wikipedia.org/wiki/Iceland
462,Anglo-Saxon_runes,,,,,,,,,https://en.wikipedia.org/wiki/Anglo-Saxon_runes
463,Upper Arrernte,"['Pama–Nyungan', 'Arandic', 'Arrernte', 'Upper Arrernte']",,Variously:titleamxtitle – Anmatjirratitlealytitle – Alyawarrtitleadgtitle – titleAntekerrepenhetitleaertitle – Eastern Arrerntetitlearetitle – Western Arrerntetitleaxetitle – Ayerrerenge,aran1263,"4,100 (2021 census)[1]","Northern Territory, Australia",,,https://en.wikipedia.org/wiki/Arrernte_language
464,Saterland Frisian,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Frisian', 'East Frisian', 'Ems', 'Saterland Frisian']",,stq,sate1242,"2,000 (2015)[1]",Saterland,,Germany,https://en.wikipedia.org/wiki/Saterland_Frisian_language
465,Tetum,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timor–Babar', 'Tetumic', 'Tetum']","['Belunese (', 'Tetun Belu', ')', 'Terik (', 'Tetun Terik', ')']",tet,tetu1245,"500,000, mostly in Indonesia (2010–2011)[1]",, East Timor, Indonesia (East Nusa Tenggara),https://en.wikipedia.org/wiki/Tetum_language
466,Fiji Hindi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central', ' and ', 'Eastern', 'Eastern Hindi', ' and ', 'Bihari', 'Awadhi', ' and ', 'Bhojpuri', 'Fiji Hindi']",['Pidgin Hindustani'],hif,fiji1242,"(380,000 cited 1991)[1]",, Fiji,,https://en.wikipedia.org/wiki/Fiji_Hindi
467,Argentine_Republic,,,,,,,,,https://en.wikipedia.org/wiki/Argentine_Republic
468,Djibouti,,,,,,,,,https://en.wikipedia.org/wiki/Djibouti
469,Slovakia,,,,,,,,,https://en.wikipedia.org/wiki/Slovakia
470,Niger,,,,,,,,,https://en.wikipedia.org/wiki/Niger
471,Tunisian Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Tunisian Arabic']",,aeb,tuni1259,12 million (2021)[2],,,As a variety of Maghrebi Arabic on 7 May 1999 (Not ratified due to several Constitutional Matters):[3][4],https://en.wikipedia.org/wiki/Tunisian_Arabic
472,Autonomous_regions_of_the_People%27s_Republic_of_China,,,,,,,,,https://en.wikipedia.org/wiki/Autonomous_regions_of_the_People%27s_Republic_of_China
473,France,,,,,,,,,https://en.wikipedia.org/wiki/France
474,Anfillo,"['Afro-Asiatic', 'Omotic', 'North Omotic', 'Gonga', 'Anfillo']",,myo,anfi1235,(500 cited 1990)[1],Ethiopia,,,https://en.wikipedia.org/wiki/Anfillo
475,Tok Pisin,"['English Creole', '\nPacific', 'Melanesian Pidgin', 'Tok Pisin']",,tpi,tokp1240,"130,000 (2004–2016)[2]L2 speakers: 4,000,000[2]",, Papua New Guinea,,https://en.wikipedia.org/wiki/Tok_Pisin
476,Dungan_people,,,,,,,,,https://en.wikipedia.org/wiki/Dungan_people
477,Aromanian,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Eastern Romance', '[2]', 'Aromanian']","['Farsherot (incl. Muzachiar)', 'Moscopolean', 'Gopeš–Malovište', 'Pindean (incl. Olympiot)', 'Gramostean']",rup,arom1237,"210,000 (2018)[1]",Balkans,, Albania North Macedonia,https://en.wikipedia.org/wiki/Aromanian_language
478,Khakas,"['Turkic', 'Common Turkic', 'Siberian Turkic', '[2]', 'South Siberian', 'Yenisei Turkic', '[3]', 'Khakas']",['Fuyu Kyrgyz'],kjh,khak1248,"43,000 (2010 census)[1]",Khakassia, Russia Khakassia,,https://en.wikipedia.org/wiki/Khakas_language
479,Ajië,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Southern', 'South Southern', 'Wailic', 'Ajië']",,aji,ajie1238,"5,400 (2009 census)[1]","Houailou, New Caledonia",,,https://en.wikipedia.org/wiki/Aji%C3%AB
480,Southern_Transdanubia,,,,,,,,,https://en.wikipedia.org/wiki/Southern_Transdanubia
481,Slovak_Republic,,,,,,,,,https://en.wikipedia.org/wiki/Slovak_Republic
